"Territory","SHORTNAME","ISO3","Date","HDD18"
"Germany","GERMANY","DEU",2018-01-01,11.5260133743286
"Germany","GERMANY","DEU",2018-01-02,13.486102104187
"Germany","GERMANY","DEU",2018-01-03,11.7940921783447
"Germany","GERMANY","DEU",2018-01-04,11.2611923217773
"Germany","GERMANY","DEU",2018-01-05,10.8137512207031
"Germany","GERMANY","DEU",2018-01-06,12.6562070846558
"Germany","GERMANY","DEU",2018-01-07,15.4561443328857
"Germany","GERMANY","DEU",2018-01-08,15.9468011856079
"Germany","GERMANY","DEU",2018-01-09,14.3760709762573
"Germany","GERMANY","DEU",2018-01-10,13.5260467529297
"Germany","GERMANY","DEU",2018-01-11,14.6573734283447
"Germany","GERMANY","DEU",2018-01-12,14.9835157394409
"Germany","GERMANY","DEU",2018-01-13,15.7229404449463
"Germany","GERMANY","DEU",2018-01-14,17.613452911377
"Germany","GERMANY","DEU",2018-01-15,16.1548595428467
"Germany","GERMANY","DEU",2018-01-16,14.0923728942871
"Germany","GERMANY","DEU",2018-01-17,16.3260631561279
"Germany","GERMANY","DEU",2018-01-18,14.4346399307251
"Germany","GERMANY","DEU",2018-01-19,15.8729448318481
"Germany","GERMANY","DEU",2018-01-20,16.6575717926025
"Germany","GERMANY","DEU",2018-01-21,17.2199058532715
"Germany","GERMANY","DEU",2018-01-22,15.4374122619629
"Germany","GERMANY","DEU",2018-01-23,12.9045972824097
"Germany","GERMANY","DEU",2018-01-24,9.18224334716797
"Germany","GERMANY","DEU",2018-01-25,10.3590364456177
"Germany","GERMANY","DEU",2018-01-26,12.5843772888184
"Germany","GERMANY","DEU",2018-01-27,13.5735034942627
"Germany","GERMANY","DEU",2018-01-28,11.1558694839478
"Germany","GERMANY","DEU",2018-01-29,9.94915199279785
"Germany","GERMANY","DEU",2018-01-30,13.3382329940796
"Germany","GERMANY","DEU",2018-01-31,12.1579341888428
"Germany","GERMANY","DEU",2018-02-01,15.4083518981934
"Germany","GERMANY","DEU",2018-02-02,16.0208644866943
"Germany","GERMANY","DEU",2018-02-03,17.0300045013428
"Germany","GERMANY","DEU",2018-02-04,18.6382293701172
"Germany","GERMANY","DEU",2018-02-05,19.1453628540039
"Germany","GERMANY","DEU",2018-02-06,20.4352569580078
"Germany","GERMANY","DEU",2018-02-07,20.2575397491455
"Germany","GERMANY","DEU",2018-02-08,20.8043041229248
"Germany","GERMANY","DEU",2018-02-09,19.810489654541
"Germany","GERMANY","DEU",2018-02-10,17.9010486602783
"Germany","GERMANY","DEU",2018-02-11,16.3421516418457
"Germany","GERMANY","DEU",2018-02-12,17.3894538879395
"Germany","GERMANY","DEU",2018-02-13,18.8192596435547
"Germany","GERMANY","DEU",2018-02-14,19.4733619689941
"Germany","GERMANY","DEU",2018-02-15,17.5313167572021
"Germany","GERMANY","DEU",2018-02-16,15.5235757827759
"Germany","GERMANY","DEU",2018-02-17,17.5173587799072
"Germany","GERMANY","DEU",2018-02-18,17.9020290374756
"Germany","GERMANY","DEU",2018-02-19,18.4022026062012
"Germany","GERMANY","DEU",2018-02-20,18.7621383666992
"Germany","GERMANY","DEU",2018-02-21,18.9329376220703
"Germany","GERMANY","DEU",2018-02-22,19.4483795166016
"Germany","GERMANY","DEU",2018-02-23,20.3323631286621
"Germany","GERMANY","DEU",2018-02-24,20.6584663391113
"Germany","GERMANY","DEU",2018-02-25,23.4441928863525
"Germany","GERMANY","DEU",2018-02-26,24.8144092559814
"Germany","GERMANY","DEU",2018-02-27,25.9976673126221
"Germany","GERMANY","DEU",2018-02-28,27.123836517334
"Germany","GERMANY","DEU",2018-03-01,24.6511631011963
"Germany","GERMANY","DEU",2018-03-02,23.6903896331787
"Germany","GERMANY","DEU",2018-03-03,21.1985569000244
"Germany","GERMANY","DEU",2018-03-04,16.4355087280273
"Germany","GERMANY","DEU",2018-03-05,13.3671159744263
"Germany","GERMANY","DEU",2018-03-06,14.9197597503662
"Germany","GERMANY","DEU",2018-03-07,14.3248424530029
"Germany","GERMANY","DEU",2018-03-08,13.0175838470459
"Germany","GERMANY","DEU",2018-03-09,12.6979837417603
"Germany","GERMANY","DEU",2018-03-10,9.56959915161133
"Germany","GERMANY","DEU",2018-03-11,7.75546550750732
"Germany","GERMANY","DEU",2018-03-12,9.18749237060547
"Germany","GERMANY","DEU",2018-03-13,11.3760328292847
"Germany","GERMANY","DEU",2018-03-14,13.403754234314
"Germany","GERMANY","DEU",2018-03-15,13.1090393066406
"Germany","GERMANY","DEU",2018-03-16,14.4662895202637
"Germany","GERMANY","DEU",2018-03-17,19.9103622436523
"Germany","GERMANY","DEU",2018-03-18,21.0652523040771
"Germany","GERMANY","DEU",2018-03-19,20.4909191131592
"Germany","GERMANY","DEU",2018-03-20,18.7870407104492
"Germany","GERMANY","DEU",2018-03-21,17.9129486083984
"Germany","GERMANY","DEU",2018-03-22,16.3607769012451
"Germany","GERMANY","DEU",2018-03-23,14.3955678939819
"Germany","GERMANY","DEU",2018-03-24,13.3659515380859
"Germany","GERMANY","DEU",2018-03-25,12.7157096862793
"Germany","GERMANY","DEU",2018-03-26,13.0830688476562
"Germany","GERMANY","DEU",2018-03-27,13.1583690643311
