GENESIS-Tabelle: 61111-0021
Index of net rents exclusive of heating expenses:;;;;;;;;;;;;;;;;;
Länder, months;;;;;;;;;;;;;;;;;
Consumer price index for Germany;;;;;;;;;;;;;;;;;
Index of net rents exclusive of heating expenses (2020=100);;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2020;January;98.7;99.4;99.9;99.5;97.6;99.7;99.5;99.6;99.5;99.6;99.6;99.5;99.8;98.8;99.5;96.6
2020;February;98.9;99.6;100.0;99.6;97.6;99.7;99.6;99.6;99.6;99.7;99.6;99.5;99.9;100.0;99.5;96.6
2020;March;99.6;99.7;100.0;99.7;97.7;99.8;99.9;99.8;99.9;99.7;99.9;99.7;99.9;100.0;99.6;99.7
2020;April;99.7;99.7;100.0;99.8;97.8;99.9;100.0;99.8;99.9;99.8;99.9;99.8;99.9;100.0;99.7;99.7
2020;May;99.9;99.8;100.0;100.0;98.0;99.9;100.0;99.9;99.9;99.9;99.9;99.8;99.9;100.1;99.8;99.7
2020;June;100.0;99.8;100.0;100.0;98.0;99.9;100.1;99.9;100.0;99.9;100.0;99.9;100.0;100.1;100.1;100.9
2020;July;100.0;100.2;100.0;100.0;98.0;100.0;100.2;99.9;100.0;100.1;100.0;100.1;100.0;100.1;100.1;100.9
2020;August;100.1;100.2;100.0;100.1;103.1;100.1;100.1;100.0;100.0;100.2;100.1;100.3;99.9;100.1;100.2;101.2
2020;September;100.4;100.3;100.0;100.1;103.1;100.1;100.2;100.3;100.1;100.2;100.1;100.3;100.1;100.1;100.2;101.2
2020;October;100.6;100.4;100.0;100.1;103.1;100.2;100.1;100.3;100.2;100.3;100.2;100.3;100.1;100.1;100.3;101.2
2020;November;101.0;100.4;100.1;100.2;103.1;100.3;100.1;100.4;100.2;100.3;100.3;100.3;100.2;100.3;100.5;101.2
2020;December;101.1;100.5;100.0;100.7;103.1;100.4;100.2;100.4;100.8;100.4;100.3;100.3;100.4;100.3;100.5;101.2
2021;January;101.5;100.6;99.8;100.7;103.2;100.4;100.3;100.4;100.8;100.5;100.3;100.5;100.5;100.5;100.6;101.2
2021;February;101.6;100.7;99.5;100.8;103.8;100.4;100.4;100.5;100.9;100.6;100.4;100.5;100.5;100.5;100.7;101.3
2021;March;101.7;100.8;99.5;101.1;103.9;100.5;100.5;100.5;101.1;100.7;100.6;100.6;101.6;100.5;100.7;101.3
2021;April;101.7;101.0;99.6;101.3;103.9;100.5;100.6;100.5;101.1;100.9;100.6;101.1;101.7;100.6;100.8;101.3
2021;May;101.8;101.1;99.7;101.3;104.1;100.5;100.6;100.8;101.2;101.0;100.7;101.3;101.7;100.7;100.8;101.4
2021;June;101.8;101.2;99.9;101.3;104.4;100.6;100.6;100.8;101.2;101.1;100.7;101.4;101.7;100.7;100.9;101.4
2021;July;101.9;101.3;99.9;101.4;104.4;100.6;100.7;101.0;101.2;101.3;100.7;101.6;101.7;100.7;101.3;101.4
2021;August;102.0;101.7;100.0;101.5;104.5;100.6;100.7;101.0;101.2;101.3;100.8;101.6;101.7;100.8;101.4;101.4
2021;September;102.1;101.7;100.2;101.5;104.6;100.6;100.8;101.1;101.2;101.4;100.9;101.5;101.8;100.8;101.5;101.5
2021;October;102.3;101.9;100.4;101.5;104.7;100.7;100.8;101.1;101.4;101.6;100.9;101.5;101.8;100.8;101.6;102.1
2021;November;102.4;102.1;100.4;101.5;104.7;100.8;101.1;101.1;101.4;101.9;101.0;101.6;101.9;100.9;102.1;102.1
2021;December;102.5;102.2;100.5;101.5;104.7;101.1;101.1;101.3;101.4;102.0;101.2;101.6;101.9;100.9;102.1;102.2
2022;January;102.7;102.5;100.5;101.7;104.9;101.2;101.7;101.3;101.5;102.1;101.3;101.8;102.0;100.9;102.3;102.3
2022;February;102.8;102.6;101.2;101.7;105.0;101.3;101.9;101.5;101.6;102.2;101.9;101.8;102.1;100.9;102.4;102.3
2022;March;103.4;102.7;101.2;101.8;105.1;101.4;102.1;101.6;101.6;102.3;102.5;101.9;102.2;100.9;102.5;102.3
