"","date","weekday","weekend_ahead","day_ahead","combined"
"1",2017-01-03,"Tue",17.98,19.475,19.475
"2",2017-01-04,"Wed",19.3,18.875,18.875
"3",2017-01-05,"Thu",19,18.9,18.9
"4",2017-01-06,"Fri",18.975,19.3,19.3
"5",2017-01-07,"Sat",NA,NA,18.975
"6",2017-01-08,"Sun",NA,NA,18.975
"7",2017-01-09,"Mon",18.975,18.85,18.85
"8",2017-01-10,"Tue",18.95,19.85,19.85
"9",2017-01-11,"Wed",20.075,20.125,20.125
"10",2017-01-12,"Thu",20.5,21.275,21.275
"11",2017-01-13,"Fri",20.7,20.95,20.95
"12",2017-01-14,"Sat",NA,NA,20.7
"13",2017-01-15,"Sun",NA,NA,20.7
"14",2017-01-16,"Mon",20.7,20.75,20.75
"15",2017-01-17,"Tue",20.7,19.35,19.35
"16",2017-01-18,"Wed",20.7,20.9,20.9
"17",2017-01-19,"Thu",20.55,20.1,20.1
"18",2017-01-20,"Fri",20.5,20.95,20.95
"19",2017-01-21,"Sat",NA,NA,21.4
"20",2017-01-22,"Sun",NA,NA,21.4
"21",2017-01-23,"Mon",21.4,21.25,21.25
"22",2017-01-24,"Tue",21.4,22.4,22.4
"23",2017-01-25,"Wed",21.4,22.125,22.125
"24",2017-01-26,"Thu",21.4,21.13,21.13
"25",2017-01-27,"Fri",20.45,20.85,20.85
"26",2017-01-28,"Sat",NA,NA,20.45
"27",2017-01-29,"Sun",NA,NA,20.45
"28",2017-01-30,"Mon",20.45,20.1,20.1
"29",2017-01-31,"Tue",20.45,20.95,20.95
"30",2017-02-01,"Wed",19.925,21.75,21.75
"31",2017-02-02,"Thu",22.3,22.325,22.325
"32",2017-02-03,"Fri",22.35,22.25,22.25
"33",2017-02-04,"Sat",NA,NA,22.3
"34",2017-02-05,"Sun",NA,NA,22.3
"35",2017-02-06,"Mon",22.3,23.1,23.1
"36",2017-02-07,"Tue",22.3,23.25,23.25
"37",2017-02-08,"Wed",22.3,22.55,22.55
"38",2017-02-09,"Thu",22.3,20.68,20.68
"39",2017-02-10,"Fri",22.425,21.175,21.175
"40",2017-02-11,"Sat",NA,NA,20.35
"41",2017-02-12,"Sun",NA,NA,20.35
"42",2017-02-13,"Mon",20.35,20.55,20.55
"43",2017-02-14,"Tue",20.35,19.85,19.85
"44",2017-02-15,"Wed",20.35,19.45,19.45
"45",2017-02-16,"Thu",20.35,19.4,19.4
"46",2017-02-17,"Fri",20.45,19.3,19.3
"47",2017-02-18,"Sat",NA,NA,20.45
"48",2017-02-19,"Sun",NA,NA,20.45
"49",2017-02-20,"Mon",20.45,19.15,19.15
"50",2017-02-21,"Tue",20.45,18.2,18.2
"51",2017-02-22,"Wed",20.45,18.35,18.35
"52",2017-02-23,"Thu",20.45,18.5,18.5
"53",2017-02-24,"Fri",19,18.8,18.8
"54",2017-02-25,"Sat",NA,NA,19
"55",2017-02-26,"Sun",NA,NA,19
"56",2017-02-27,"Mon",19,18.025,18.025
"57",2017-02-28,"Tue",19,17.9,17.9
"58",2017-03-01,"Wed",18.15,17.65,17.65
"59",2017-03-02,"Thu",18.4,17.725,17.725
"60",2017-03-03,"Fri",17.25,17.5,17.5
"61",2017-03-04,"Sat",NA,NA,17.3
"62",2017-03-05,"Sun",NA,NA,17.3
"63",2017-03-06,"Mon",17.3,17.15,17.15
"64",2017-03-07,"Tue",16.98,17.475,17.475
"65",2017-03-08,"Wed",16.95,17,17
"66",2017-03-09,"Thu",16.625,16.8,16.8
"67",2017-03-10,"Fri",16.5,16.5,16.5
"68",2017-03-11,"Sat",NA,NA,16.5
"69",2017-03-12,"Sun",NA,NA,16.5
"70",2017-03-13,"Mon",16.5,16.675,16.675
"71",2017-03-14,"Tue",16.33,16.275,16.275
"72",2017-03-15,"Wed",16.33,16.375,16.375
"73",2017-03-16,"Thu",16.35,16.375,16.375
"74",2017-03-17,"Fri",16.3,16.2,16.2
"75",2017-03-18,"Sat",NA,NA,16.3
"76",2017-03-19,"Sun",NA,NA,16.3
"77",2017-03-20,"Mon",16.3,16.2,16.2
"78",2017-03-21,"Tue",16.3,15.9,15.9
"79",2017-03-22,"Wed",16.3,16.08,16.08
"80",2017-03-23,"Thu",16.3,15.98,15.98
"81",2017-03-24,"Fri",16.35,15.85,15.85
"82",2017-03-25,"Sat",NA,NA,16.35
"83",2017-03-26,"Sun",NA,NA,16.35
"84",2017-03-27,"Mon",16.35,15.5,15.5
"85",2017-03-28,"Tue",16.35,15.1,15.1
"86",2017-03-29,"Wed",16.35,15.15,15.15
"87",2017-03-30,"Thu",15.4,15.625,15.625
"88",2017-03-31,"Fri",15.7,16.1,16.1
"89",2017-04-01,"Sat",NA,NA,15.7
"90",2017-04-02,"Sun",NA,NA,15.7
"91",2017-04-03,"Mon",15.7,16.15,16.15
"92",2017-04-04,"Tue",15.7,16.475,16.475
"93",2017-04-05,"Wed",15.7,16.5,16.5
"94",2017-04-06,"Thu",15.7,16.55,16.55
"95",2017-04-07,"Fri",15.65,16.45,16.45
"96",2017-04-08,"Sat",NA,NA,15.65
"97",2017-04-09,"Sun",NA,NA,15.65
"98",2017-04-10,"Mon",15.65,16.075,16.075
"99",2017-04-11,"Tue",15.65,16.225,16.225
"100",2017-04-12,"Wed",16.025,16,16
"101",2017-04-13,"Thu",15.975,16.025,16.025
"102",2017-04-14,"Fri",15.975,16.025,16.025
"103",2017-04-15,"Sat",NA,NA,15.975
"104",2017-04-16,"Sun",NA,NA,15.975
"105",2017-04-17,"Mon",15.975,16.025,16.025
"106",2017-04-18,"Tue",15.975,16.3,16.3
"107",2017-04-19,"Wed",15.975,17.05,17.05
"108",2017-04-20,"Thu",15.975,16.95,16.95
"109",2017-04-21,"Fri",16.2,16.6,16.6
"110",2017-04-22,"Sat",NA,NA,16.2
"111",2017-04-23,"Sun",NA,NA,16.2
"112",2017-04-24,"Mon",16.2,16.55,16.55
"113",2017-04-25,"Tue",16.2,16.9,16.9
"114",2017-04-26,"Wed",16.2,16.775,16.775
"115",2017-04-27,"Thu",16.2,16.825,16.825
"116",2017-04-28,"Fri",16.6,16.7,16.7
"117",2017-04-29,"Sat",NA,NA,16.6
"118",2017-04-30,"Sun",NA,NA,16.6
"119",2017-05-01,"Mon",16.6,16.7,16.7
"120",2017-05-02,"Tue",16.6,16.5,16.5
"121",2017-05-03,"Wed",16.6,16.925,16.925
"122",2017-05-04,"Thu",16.6,16.7,16.7
"123",2017-05-05,"Fri",16.25,16.53,16.53
"124",2017-05-06,"Sat",NA,NA,16.25
"125",2017-05-07,"Sun",NA,NA,16.25
"126",2017-05-08,"Mon",16.25,16.05,16.05
"127",2017-05-09,"Tue",16.25,16.225,16.225
"128",2017-05-10,"Wed",15.9,16.25,16.25
"129",2017-05-11,"Thu",16,16.55,16.55
"130",2017-05-12,"Fri",15.6,15.63,15.63
"131",2017-05-13,"Sat",NA,NA,15.6
"132",2017-05-14,"Sun",NA,NA,15.6
"133",2017-05-15,"Mon",15.6,15.95,15.95
"134",2017-05-16,"Tue",15.6,15.975,15.975
"135",2017-05-17,"Wed",15.6,15.78,15.78
"136",2017-05-18,"Thu",15.75,15.875,15.875
"137",2017-05-19,"Fri",15.975,15.925,15.925
"138",2017-05-20,"Sat",NA,NA,15.975
"139",2017-05-21,"Sun",NA,NA,15.975
"140",2017-05-22,"Mon",15.975,15.825,15.825
"141",2017-05-23,"Tue",15.73,15.5,15.5
"142",2017-05-24,"Wed",15.6,15.75,15.75
"143",2017-05-25,"Thu",15.525,15.65,15.65
"144",2017-05-26,"Fri",15.4,15.55,15.55
"145",2017-05-27,"Sat",NA,NA,15.4
"146",2017-05-28,"Sun",NA,NA,15.4
"147",2017-05-29,"Mon",15.4,15.53,15.53
"148",2017-05-30,"Tue",15.4,15.7,15.7
"149",2017-05-31,"Wed",15.4,16,16
"150",2017-06-01,"Thu",15.4,15.675,15.675
"151",2017-06-02,"Fri",15.3,15.475,15.475
"152",2017-06-03,"Sat",NA,NA,15.3
"153",2017-06-04,"Sun",NA,NA,15.3
"154",2017-06-05,"Mon",15.3,15.15,15.15
"155",2017-06-06,"Tue",15.3,15.725,15.725
"156",2017-06-07,"Wed",15.3,15.1,15.1
"157",2017-06-08,"Thu",15.3,15.325,15.325
"158",2017-06-09,"Fri",15.025,15.525,15.525
"159",2017-06-10,"Sat",NA,NA,15.025
"160",2017-06-11,"Sun",NA,NA,15.025
"161",2017-06-12,"Mon",15.025,15,15
"162",2017-06-13,"Tue",15.025,15.4,15.4
"163",2017-06-14,"Wed",15.2,15.325,15.325
"164",2017-06-15,"Thu",15.2,15.4,15.4
"165",2017-06-16,"Fri",14.95,14.925,14.925
"166",2017-06-17,"Sat",NA,NA,15.125
"167",2017-06-18,"Sun",NA,NA,15.125
"168",2017-06-19,"Mon",15.125,15.55,15.55
"169",2017-06-20,"Tue",15.125,15.7,15.7
"170",2017-06-21,"Wed",15.125,15.83,15.83
"171",2017-06-22,"Thu",15.125,15.85,15.85
"172",2017-06-23,"Fri",15.4,15.575,15.575
"173",2017-06-24,"Sat",NA,NA,15.4
"174",2017-06-25,"Sun",NA,NA,15.4
"175",2017-06-26,"Mon",15.4,15.5,15.5
"176",2017-06-27,"Tue",15.4,15.625,15.625
"177",2017-06-28,"Wed",15.4,15.6,15.6
"178",2017-06-29,"Thu",15.4,15.78,15.78
"179",2017-06-30,"Fri",15.1,15.2,15.2
"180",2017-07-01,"Sat",NA,NA,15.1
"181",2017-07-02,"Sun",NA,NA,15.1
"182",2017-07-03,"Mon",15.1,15.65,15.65
"183",2017-07-04,"Tue",15.125,15.8,15.8
"184",2017-07-05,"Wed",15.125,15.4,15.4
"185",2017-07-06,"Thu",15.375,15.5,15.5
