Fecha,EUA,CER,SPREAD (EUA - CER)
02.01.2018,7.74,0.17,7.57
03.01.2018,7.78,0.17,7.61
04.01.2018,7.74,0.17,7.57
05.01.2018,7.75,0.17,7.58
08.01.2018,7.64,0.17,7.47
09.01.2018,7.73,0.17,7.56
10.01.2018,7.86,0.17,7.69
11.01.2018,7.79,0.17,7.62
12.01.2018,7.83,0.17,7.66
15.01.2018,7.74,0.17,7.57
16.01.2018,8.02,0.17,7.85
17.01.2018,8.13,0.17,7.96
18.01.2018,8.46,0.17,8.29
19.01.2018,8.73,0.17,8.56
22.01.2018,8.72,0.17,8.55
23.01.2018,8.98,0.17,8.81
24.01.2018,9.42,0.18,9.24
25.01.2018,9.21,0.17,9.04
26.01.2018,9.06,0.17,8.89
29.01.2018,8.97,0.18,8.79
30.01.2018,8.85,0.18,8.67
31.01.2018,9.25,0.18,9.07
01.02.2018,9.24,0.18,9.06
02.02.2018,8.93,0.18,8.75
05.02.2018,9.05,0.18,8.87
06.02.2018,8.78,0.17,8.61
07.02.2018,8.97,0.17,8.8
08.02.2018,9.10,0.17,8.93
09.02.2018,9.21,0.17,9.04
12.02.2018,9.46,0.17,9.29
13.02.2018,9.86,0.17,9.69
14.02.2018,9.57,0.17,9.4
15.02.2018,9.52,0.18,9.34
16.02.2018,9.50,0.18,9.32
19.02.2018,9.86,0.18,9.68
20.02.2018,9.70,0.18,9.52
21.02.2018,9.54,0.18,9.36
22.02.2018,9.70,0.18,9.52
23.02.2018,9.77,0.18,9.59
26.02.2018,9.61,0.18,9.43
27.02.2018,10.13,0.19,9.94
28.02.2018,10.07,0.19,9.88
01.03.2018,9.97,0.18,9.79
02.03.2018,10.10,0.19,9.91
05.03.2018,10.30,0.19,10.11
06.03.2018,10.43,0.18,10.25
07.03.2018,10.60,0.19,10.41
08.03.2018,11.03,0.19,10.84
09.03.2018,11.05,0.19,10.86
12.03.2018,11.06,0.19,10.87
13.03.2018,11.37,0.19,11.18
14.03.2018,11.16,0.19,10.97
15.03.2018,11.17,0.19,10.98
16.03.2018,11.16,0.19,10.97
19.03.2018,11.04,0.19,10.85
20.03.2018,11.52,0.19,11.33
21.03.2018,12.62,0.19,12.43
22.03.2018,12.31,0.19,12.12
23.03.2018,12.57,0.19,12.38
26.03.2018,12.91,0.19,12.72
27.03.2018,13.65,0.19,13.46
