date,earnings_seasonal,earnings_adj
01.01.2010,80.4,86.6
01.04.2010,92.7,86.1
01.07.2010,81.5,86.6
01.10.2010,90.8,86.8
01.01.2011,81.1,88.1
01.04.2011,96,88.9
01.07.2011,84,89.3
01.10.2011,94.6,89.3
01.01.2012,82.1,89.6
01.04.2012,100.7,92.3
01.07.2012,86.8,92
01.10.2012,99.6,93.3
01.01.2013,85.6,92.2
01.04.2013,101.5,93.5
01.07.2013,86.9,92.6
01.10.2013,100.3,94
01.01.2014,87.1,94.2
01.04.2014,103.8,94.9
01.07.2014,89.3,95.4
01.10.2014,102.4,96.2
01.01.2015,89.6,96.9
01.04.2015,107,97.8
01.07.2015,91.6,98
01.10.2015,103.3,98.3
01.01.2016,93.4,100.1
01.04.2016,105.8,98.6
01.07.2016,94.3,100.9
01.10.2016,106.5,100.4
01.01.2017,93.6,102.1
01.04.2017,111.7,102.3
01.07.2017,96.9,103.1
01.10.2017,110.9,103.4
01.01.2018,97.2,104.9
01.04.2018,113.9,105.1
01.07.2018,100.2,106.6
01.10.2018,113.8,106.4
01.01.2019,99.4,107.3
01.04.2019,118.9,109.2
01.07.2019,102.6,109.6
01.10.2019,117.1,109.4
01.01.2020,103.6,112.2
01.04.2020,122.4,112.5
01.07.2020,107.7,115.1
01.10.2020,118.4,112.4
01.01.2021,105,113.3
01.04.2021,121.7,113
01.07.2021,110.1,117.5
01.10.2021,122.6,116.7
01.01.2022,106.9,116
01.04.2022,125.5,116.5
01.07.2022,108.6,115.7
