Datum,"Frontjahr, Euro/MWh","Day-Ahead (1 MW), Euro/MWh"
02.05.2013,26.26,26.97
03.05.2013,26.51,26.95
06.05.2013,26.51,26.85
07.05.2013,26.6,26.75
08.05.2013,26.45,26.6
10.05.2013,26.39,26.75
13.05.2013,26.44,26.8
14.05.2013,26.39,26.79
15.05.2013,26.51,26.85
16.05.2013,26.6,26.92
17.05.2013,26.65,26.84
21.05.2013,26.75,27.43
22.05.2013,26.6,27.75
23.05.2013,26.44,27.62
24.05.2013,26.39,27.26
27.05.2013,26.5,26.95
28.05.2013,26.51,27.1
29.05.2013,26.57,27.15
30.05.2013,26.46,26.87
31.05.2013,26.53,26.9
03.06.2013,26.46,26.95
04.06.2013,26.446,26.77
05.06.2013,26.488,26.58
06.06.2013,26.44,26.46
07.06.2013,26.431,26.4
10.06.2013,26.385,26.33
11.06.2013,26.327,26.59
12.06.2013,26.505,26.64
13.06.2013,26.485,26.52
14.06.2013,26.915,26.57
17.06.2013,26.998,26.4
18.06.2013,26.708,26.41
19.06.2013,26.774,26.35
20.06.2013,26.635,26.55
21.06.2013,26.5,26.4
24.06.2013,26.474,26.24
25.06.2013,26.532,26.3
26.06.2013,26.549,26.48
27.06.2013,26.513,26.22
28.06.2013,26.567,26.23
01.07.2013,26.595,26.45
02.07.2013,26.598,26.3
03.07.2013,26.743,26.75
04.07.2013,26.631,26.45
05.07.2013,26.662,26.36
08.07.2013,26.657,26.23
09.07.2013,26.646,26.36
10.07.2013,26.663,26.54
11.07.2013,26.638,26.45
12.07.2013,26.584,26.43
15.07.2013,26.551,26.26
16.07.2013,26.438,26.24
17.07.2013,26.563,26.39
18.07.2013,26.687,26.33
19.07.2013,26.61,26.2
22.07.2013,26.665,26.26
23.07.2013,26.663,26.27
24.07.2013,26.613,26.38
25.07.2013,26.513,26.24
26.07.2013,26.513,26.15
29.07.2013,26.463,26.18
30.07.2013,26.382,26.18
31.07.2013,26.351,26.09
01.08.2013,26.488,25.29
02.08.2013,26.467,25.36
05.08.2013,26.527,25.42
06.08.2013,26.463,25.76
07.08.2013,26.598,26
08.08.2013,26.523,25.91
09.08.2013,26.474,26
12.08.2013,26.367,25.94
13.08.2013,26.416,25.97
14.08.2013,26.472,25.99
15.08.2013,26.5,25.85
16.08.2013,26.563,25.8
19.08.2013,26.413,25.81
20.08.2013,26.319,25.74
21.08.2013,26.384,26.03
22.08.2013,26.428,25.87
23.08.2013,26.323,25.6
27.08.2013,26.41,25.65
28.08.2013,26.713,25.785
29.08.2013,26.716,25.7
30.08.2013,26.645,25.86
02.09.2013,26.775,25.987
03.09.2013,26.788,25.961
04.09.2013,26.864,25.95
05.09.2013,26.921,25.995
06.09.2013,27.055,26.6
09.09.2013,27.075,26.9
10.09.2013,26.845,26.613
11.09.2013,26.911,26.913
12.09.2013,26.982,27.079
13.09.2013,26.924,27.125
16.09.2013,26.819,26.938
17.09.2013,26.613,26.8
18.09.2013,26.69,26.9
19.09.2013,26.538,26.9
20.09.2013,26.592,26.925
23.09.2013,26.463,26.65
24.09.2013,26.376,26.506
25.09.2013,26.486,26.65
26.09.2013,26.566,26.607
27.09.2013,26.578,26.671
30.09.2013,26.521,26.685
01.10.2013,26.4,25.98
02.10.2013,26.4,26.125
04.10.2013,26.375,26.293
07.10.2013,26.56,26.491
08.10.2013,26.625,26.725
09.10.2013,26.515,26.883
10.10.2013,26.534,27.021
11.10.2013,26.543,26.654
14.10.2013,26.559,27.039
15.10.2013,26.592,26.832
16.10.2013,26.542,26.32
17.10.2013,26.518,26.168
18.10.2013,26.563,26.128
21.10.2013,26.469,26.181
22.10.2013,26.5,26.149
23.10.2013,26.459,26.187
24.10.2013,26.39,26
25.10.2013,26.382,25.699
28.10.2013,26.418,25.9
29.10.2013,26.352,26.063
30.10.2013,26.374,26.3
31.10.2013,26.463,25.019
01.11.2013,26.425,26.164
04.11.2013,26.476,26.193
05.11.2013,26.641,26.767
06.11.2013,26.622,26.1
07.11.2013,26.609,26.14
08.11.2013,26.675,26.109
11.11.2013,26.798,26.542
12.11.2013,26.85,27.195
13.11.2013,26.966,27.262
14.11.2013,27.057,27.439
15.11.2013,27.236,27.281
18.11.2013,27.203,27.78
19.11.2013,27.107,27.91
20.11.2013,27.012,27.699
21.11.2013,27.126,27.681
22.11.2013,27.15,27.768
25.11.2013,27.125,27.883
26.11.2013,27.143,28.113
27.11.2013,27.246,28.113
28.11.2013,27.288,28.344
29.11.2013,27.349,28
02.12.2013,27.588,28.675
03.12.2013,27.981,29.175
04.12.2013,27.789,28.764
05.12.2013,27.508,28.377
06.12.2013,27.489,28.151
09.12.2013,27.271,27.8
10.12.2013,27.14,27.802
11.12.2013,27.017,27.836
12.12.2013,27.036,27.6
13.12.2013,27.1,27.446
16.12.2013,27.163,27.822
17.12.2013,27.187,27.802
18.12.2013,27.323,27.755
19.12.2013,27.329,27.7
20.12.2013,27.475,27.473
23.12.2013,27.31,26.4
27.12.2013,26.5,27.05
30.12.2013,26.45,27.05
02.01.2014,26.45,26.736
03.01.2014,26.325,26.51
06.01.2014,26.361,26.825
07.01.2014,26.275,26.798
08.01.2014,26.275,26.94
09.01.2014,26.287,26.944
10.01.2014,26.233,26.9
13.01.2014,26.075,26.404
14.01.2014,26.086,26.472
15.01.2014,26.183,26.41
16.01.2014,26.334,26.311
17.01.2014,26.327,26.403
20.01.2014,26.317,26.6
20.01.2014,23.55,20.694
21.01.2014,26.295,26.508
21.01.2014,23.515,22.019
22.01.2014,26.3,26.568
22.01.2014,23.809,22.916
23.01.2014,26.25,26.501
23.01.2014,23.7,22.861
24.01.2014,26.138,26.566
24.01.2014,23.612,22.429
27.01.2014,26.025,26.151
28.01.2014,26.078,26.218
29.01.2014,26.063,25.984
30.01.2014,26,25.714
31.01.2014,25.738,25.3
03.02.2014,25.555,24.743
04.02.2014,25.53,24.65
05.02.2014,25.382,24.493
06.02.2014,25.621,24.673
07.02.2014,25.767,24.888
10.02.2014,25.88,24.792
11.02.2014,25.904,24.78
12.02.2014,26.152,25.004
13.02.2014,25.85,24.44
14.02.2014,25.703,24.241
17.02.2014,25.75,24.142
18.02.2014,25.749,24.138
19.02.2014,25.67,23.988
20.02.2014,25.689,23.834
21.02.2014,25.542,23.682
24.02.2014,25.355,23.204
25.02.2014,25.282,23.167
26.02.2014,25.292,23.209
27.02.2014,25.463,23.607
28.02.2014,25.181,22.95
03.03.2014,26.088,25.025
04.03.2014,25.453,23.979
05.03.2014,25.425,23.811
06.03.2014,25.494,24.16
07.03.2014,25.575,23.907
10.03.2014,25.189,23.629
11.03.2014,25.067,23.455
12.03.2014,25.169,23.268
13.03.2014,25.239,23.477
14.03.2014,25.236,23.945
17.03.2014,25.049,23.11
18.03.2014,25.055,22.905
19.03.2014,24.825,22.576
20.03.2014,24.832,22.266
21.03.2014,24.864,21.991
24.03.2014,24.775,22.804
25.03.2014,24.7,22.551
26.03.2014,24.799,22.59
27.03.2014,24.7,22.257
28.03.2014,24.598,21
31.03.2014,24.245,21.317
01.04.2014,24.023,20.827
02.04.2014,23.477,20.3
03.04.2014,23.636,19.853
04.04.2014,23.742,19.85
07.04.2014,24.527,21.317
08.04.2014,24.255,20.872
09.04.2014,24.401,21.469
10.04.2014,24.378,21.339
11.04.2014,24.643,21.562
14.04.2014,25.092,22.299
15.04.2014,25.005,22.063
16.04.2014,25.139,22.05
17.04.2014,24.775,21.54
22.04.2014,24.41,20.4
23.04.2014,24.548,20.574
24.04.2014,25.06,19.681
