date,employment
01.01.2010,40.5
01.02.2010,40.5
01.03.2010,40.6
01.04.2010,40.8
01.05.2010,40.9
01.06.2010,41
01.07.2010,41
01.08.2010,41.1
01.09.2010,41.4
01.10.2010,41.5
01.11.2010,41.5
01.12.2010,41.4
01.01.2011,41
01.02.2011,41
01.03.2011,41.1
01.04.2011,41.3
01.05.2011,41.4
01.06.2011,41.5
01.07.2011,41.5
01.08.2011,41.6
01.09.2011,41.9
01.10.2011,41.9
01.11.2011,42
01.12.2011,41.9
01.01.2012,41.5
01.02.2012,41.5
01.03.2012,41.6
01.04.2012,41.8
01.05.2012,41.9
01.06.2012,41.9
01.07.2012,42
01.08.2012,42
01.09.2012,42.3
01.10.2012,42.4
01.11.2012,42.5
01.12.2012,42.3
01.01.2013,41.9
01.02.2013,41.9
01.03.2013,42
01.04.2013,42.1
01.05.2013,42.2
01.06.2013,42.2
01.07.2013,42.3
01.08.2013,42.3
01.09.2013,42.6
01.10.2013,42.7
01.11.2013,42.7
01.12.2013,42.5
01.01.2014,42.2
01.02.2014,42.3
01.03.2014,42.4
01.04.2014,42.5
01.05.2014,42.6
01.06.2014,42.6
01.07.2014,42.7
01.08.2014,42.7
01.09.2014,42.9
01.10.2014,43
01.11.2014,43
01.12.2014,42.8
01.01.2015,42.5
01.02.2015,42.5
01.03.2015,42.7
01.04.2015,42.9
01.05.2015,43
01.06.2015,43
01.07.2015,43.1
01.08.2015,43.1
01.09.2015,43.3
01.10.2015,43.5
01.11.2015,43.5
01.12.2015,43.4
01.01.2016,43
01.02.2016,43.1
01.03.2016,43.2
01.04.2016,43.4
01.05.2016,43.5
01.06.2016,43.5
01.07.2016,43.5
01.08.2016,43.6
01.09.2016,43.9
01.10.2016,44
01.11.2016,44.1
01.12.2016,44
01.01.2017,43.6
01.02.2017,43.7
01.03.2017,43.8
01.04.2017,43.9
01.05.2017,44
01.06.2017,44.1
01.07.2017,44.1
01.08.2017,44.2
01.09.2017,44.4
01.10.2017,44.5
01.11.2017,44.6
01.12.2017,44.5
01.01.2018,44.3
01.02.2018,44.3
01.03.2018,44.4
01.04.2018,44.6
01.05.2018,44.7
01.06.2018,44.7
01.07.2018,44.7
01.08.2018,44.8
01.09.2018,45
01.10.2018,45.1
01.11.2018,45.2
01.12.2018,45.1
01.01.2019,44.8
01.02.2019,44.8
01.03.2019,44.9
01.04.2019,45
01.05.2019,45.1
01.06.2019,45.1
01.07.2019,45.1
01.08.2019,45.1
01.09.2019,45.3
01.10.2019,45.4
01.11.2019,45.5
01.12.2019,45.4
01.01.2020,45.1
01.02.2020,45.1
01.03.2020,45
01.04.2020,44.7
01.05.2020,44.6
01.06.2020,44.6
01.07.2020,44.6
01.08.2020,44.6
01.09.2020,44.9
01.10.2020,45
01.11.2020,45
01.12.2020,44.8
01.01.2021,44.4
01.02.2021,44.4
01.03.2021,44.5
01.04.2021,44.6
01.05.2021,44.7
01.06.2021,44.8
01.07.2021,44.8
01.08.2021,44.9
01.09.2021,45.2
01.10.2021,45.3
01.11.2021,45.4
01.12.2021,45.3
01.01.2022,45
01.02.2022,45.1
01.03.2022,45.2
01.04.2022,45.3
01.05.2022,45.4
01.06.2022,45.4
01.07.2022,45.3
01.08.2022,45.4
01.09.2022,45.7
01.10.2022,45.8
01.11.2022,45.9
01.12.2022,45.7
01.01.2023,45.5
