Date,Start,End,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions,Other conventional [MWh] Calculated resolutions
01.01.2018,00:00:00,00:00:00,"114,527","40,433.75","75,969","613,435","29,486","4,268.5","156,724.25","199,363.25","41,482.75","63,992.25","25,634","28,026.25"
02.01.2018,00:00:00,00:00:00,"116,100.5","40,927","63,497.5","395,677.75","16,325.75","5,370.5","220,838.75","346,229","102,323.75","113,800","41,617","34,412.25"
03.01.2018,00:00:00,00:00:00,"115,527.75","42,643","91,808.75","825,386.25","13,103.25","5,129.75","195,912.5","241,781.5","62,061.25","88,898","32,165","32,022.25"
04.01.2018,00:00:00,00:00:00,"116,167","45,360","37,370.5","555,422.75","9,263.5","5,304.25","216,736.5","311,946","167,961","109,256.75","48,133.5","32,112.5"
05.01.2018,00:00:00,00:00:00,"116,471.5","45,341.5","27,849.75","515,496.25","18,380","5,154.5","209,575.25","330,104","183,418.75","119,025.5","46,083.75","29,839.25"
06.01.2018,00:00:00,00:00:00,"116,144.5","44,859","29,257.25","173,038","29,154.5","4,637.5","222,618.5","379,559.75","157,074.5","103,531","37,514.25","28,538.5"
07.01.2018,00:00:00,00:00:00,"116,347.75","41,947.75","33,866","350,667","17,001","4,671.75","222,074.25","360,170.25","66,560.5","92,120.5","26,587.25","28,718"
08.01.2018,00:00:00,00:00:00,"115,819.25","41,859","63,118.25","475,899.5","30,372","5,494.5","224,668.75","401,155.5","143,659.5","136,391.75","40,057.5","30,978.75"
09.01.2018,00:00:00,00:00:00,"115,715.75","45,974","79,408.25","457,452","29,452.75","5,522.25","218,569.75","383,370.25","169,046.75","146,779","27,069.5","33,109.75"
10.01.2018,00:00:00,00:00:00,"116,332.5","47,533.25","25,973.25","130,235.5","37,828.75","5,527.5","224,074","419,896","295,355.5","188,311.5","32,357.75","33,885.25"
11.01.2018,00:00:00,00:00:00,"116,424.25","47,361","10,964.75","24,308","21,015.75","5,555.25","225,169.75","421,093.25","348,594.5","234,798.75","32,543.75","32,190.75"
12.01.2018,00:00:00,00:00:00,"117,030.75","46,726","49,457","78,570.75","11,010.5","5,539.5","224,486.5","409,452.5","325,887.5","202,206.75","37,749.75","31,349.75"
13.01.2018,00:00:00,00:00:00,"116,587.75","45,354.25","73,133.75","253,186.75","11,431","5,551.75","224,009","410,535","156,956.5","127,327.5","17,032","32,852.5"
14.01.2018,00:00:00,00:00:00,"116,504.25","42,105.75","78,299","315,142.25","33,246.75","5,540.5","220,176.75","394,500.5","80,470.25","116,490.25","23,913","28,839.25"
15.01.2018,00:00:00,00:00:00,"115,864.25","41,058.5","85,285.5","634,250.25","30,279","5,506.75","218,935","349,909.75","106,647","127,123","30,383.25","32,218.75"
16.01.2018,00:00:00,00:00:00,"115,824","42,664","90,000.25","597,685.25","18,544.5","5,380","217,157.5","349,136","120,815.75","118,867.75","38,799","29,728"
17.01.2018,00:00:00,00:00:00,"115,499","47,417","82,366","570,201.25","18,862.5","5,465","220,035.5","386,414.75","110,538.5","125,476.5","32,738.25","29,694.5"
18.01.2018,00:00:00,00:00:00,"115,654.5","46,878.25","64,893.5","630,214.25","15,810.5","5,504.25","221,479.75","354,393","129,575.25","120,588.75","28,764.25","30,086.75"
19.01.2018,00:00:00,00:00:00,"116,819","49,682.75","35,775.25","262,474.5","26,535.5","5,534.75","224,696.5","404,148","229,273.5","178,814","35,470.25","30,784"
20.01.2018,00:00:00,00:00:00,"116,049","48,135.25","37,278.25","179,931.25","15,012.75","5,464","225,316.25","420,043.25","180,833.75","129,797.25","27,130.25","33,153"
21.01.2018,00:00:00,00:00:00,"115,350.25","45,468","17,739.75","82,989","18,297","5,525.25","225,862.5","418,836.25","144,694","63,131.75","21,774.75","117,764.75"
22.01.2018,00:00:00,00:00:00,"115,390","45,565.75","59,321.5","253,567","9,660.5","5,512.75","224,850.5","392,245.75","262,090","172,353.5","32,288","32,041.5"
