"Date","RH"
2018-01-01,77.61793
2018-01-02,87.379036
2018-01-03,84.272224
2018-01-04,87.06305
2018-01-05,83.561905
2018-01-06,90.504074
2018-01-07,87.04823
2018-01-08,80.857315
2018-01-09,78.64095
2018-01-10,90.02052
2018-01-11,95.09095
2018-01-12,94.23985
2018-01-13,85.021996
2018-01-14,78.45165
2018-01-15,81.2357
2018-01-16,87.6676
2018-01-17,86.49511
2018-01-18,85.096085
2018-01-19,88.75494
2018-01-20,91.01151
2018-01-21,91.89161
2018-01-22,92.435455
2018-01-23,89.33156
2018-01-24,84.90109
2018-01-25,83.88396
2018-01-26,92.14799
2018-01-27,90.314964
2018-01-28,85.49459
2018-01-29,84.39249
2018-01-30,81.80872
2018-01-31,85.96198
2018-02-01,84.56516
2018-02-02,85.01673
2018-02-03,86.23004
2018-02-04,86.7993
2018-02-05,81.4558
2018-02-06,78.377426
2018-02-07,80.27923
2018-02-08,81.545746
2018-02-09,82.372215
2018-02-10,85.17775
2018-02-11,85.14991
2018-02-12,83.96695
2018-02-13,77.213295
2018-02-14,72.02573
2018-02-15,80.94247
2018-02-16,86.51228
2018-02-17,88.16614
2018-02-18,80.79686
2018-02-19,79.630066
2018-02-20,79.48613
2018-02-21,75.63538
2018-02-22,73.41639
2018-02-23,66.65184
2018-02-24,60.59404
2018-02-25,61.34375
2018-02-26,67.35443
2018-02-27,65.64069
2018-02-28,62.4437
2018-03-01,59.37331
2018-03-02,64.5316
2018-03-03,71.65891
2018-03-04,71.31077
2018-03-05,75.693535
2018-03-06,82.14993
2018-03-07,87.059204
2018-03-08,77.77434
2018-03-09,79.27835
2018-03-10,86.03806
2018-03-11,81.89902
2018-03-12,88.938324
2018-03-13,85.66533
2018-03-14,81.65499
2018-03-15,76.229706
2018-03-16,81.85894
2018-03-17,71.467445
2018-03-18,60.518974
2018-03-19,58.800865
2018-03-20,70.4414
2018-03-21,69.66939
2018-03-22,83.94096
2018-03-23,89.01909
2018-03-24,73.75731
2018-03-25,68.41529
2018-03-26,77.56729
2018-03-27,74.92443
2018-03-28,88.451225
2018-03-29,78.15406
2018-03-30,72.354256
2018-03-31,82.03486
2018-04-01,83.93982
2018-04-02,67.4684
2018-04-03,63.693188
2018-04-04,67.95281
2018-04-05,75.85323
2018-04-06,58.92673
2018-04-07,49.625103
2018-04-08,57.722935
2018-04-09,63.604176
2018-04-10,67.888084
2018-04-11,75.49867
2018-04-12,68.49841
2018-04-13,79.57983
2018-04-14,75.04057
2018-04-15,75.41257
2018-04-16,81.537025
2018-04-17,68.56892
2018-04-18,59.32042
2018-04-19,55.84552
2018-04-20,55.594486
2018-04-21,61.386753
2018-04-22,61.16829
2018-04-23,70.70066
2018-04-24,72.84169
2018-04-25,72.735985
2018-04-26,72.58607
2018-04-27,61.467434
2018-04-28,63.58933
2018-04-29,66.62972
2018-04-30,64.92009
2018-05-01,63.54688
2018-05-02,63.317905
2018-05-03,65.05781
2018-05-04,60.72507
2018-05-05,57.031902
2018-05-06,53.84284
2018-05-07,52.727886
2018-05-08,50.524906
2018-05-09,56.8709
2018-05-10,73.803505
2018-05-11,73.3202
2018-05-12,67.46926
2018-05-13,69.55722
2018-05-14,63.06424
2018-05-15,65.37988
2018-05-16,81.07848
2018-05-17,77.0949
2018-05-18,75.3846
2018-05-19,70.6164
2018-05-20,59.502075
2018-05-21,55.414314
2018-05-22,60.590267
2018-05-23,64.168144
2018-05-24,71.43285
2018-05-25,66.91189
2018-05-26,63.236866
2018-05-27,67.998314
2018-05-28,63.598793
2018-05-29,64.278755
2018-05-30,67.73594
2018-05-31,69.67842
2018-06-01,76.58022
2018-06-02,79.94951
2018-06-03,73.90509
2018-06-04,69.91537
2018-06-05,69.0749
2018-06-06,58.567562
2018-06-07,61.696957
2018-06-08,65.15745
2018-06-09,68.77868
2018-06-10,76.51544
2018-06-11,74.410225
2018-06-12,76.05658
2018-06-13,74.288475
2018-06-14,66.326385
2018-06-15,67.9592
