date,natgas_idx
01.01.2005,73.1
01.02.2005,73.4
01.03.2005,73.4
01.04.2005,73.7
01.05.2005,73.9
01.06.2005,74
01.07.2005,74.8
01.08.2005,75.7
01.09.2005,76.7
01.10.2005,80.7
01.11.2005,81.1
01.12.2005,81.2
01.01.2006,87.3
01.02.2006,87.8
01.03.2006,87.8
01.04.2006,88.5
01.05.2006,88.9
01.06.2006,89
01.07.2006,89.2
01.08.2006,89.3
01.09.2006,89.5
01.10.2006,92.7
01.11.2006,93.4
01.12.2006,93.4
01.01.2007,95.7
01.02.2007,95.6
01.03.2007,95.5
01.04.2007,92.3
01.05.2007,91.8
01.06.2007,91.8
01.07.2007,91.2
01.08.2007,91.2
01.09.2007,90.8
01.10.2007,91.1
01.11.2007,91
01.12.2007,91
01.01.2008,94
01.02.2008,94.2
01.03.2008,94.3
01.04.2008,95.6
01.05.2008,96.1
01.06.2008,96.6
01.07.2008,98.6
01.08.2008,100.5
01.09.2008,103.8
01.10.2008,110.9
01.11.2008,111.6
01.12.2008,111.8
01.01.2009,113.1
01.02.2009,112.3
01.03.2009,111.5
01.04.2009,100.1
01.05.2009,99.5
01.06.2009,99.1
01.07.2009,95.2
01.08.2009,94.2
01.09.2009,93.7
01.10.2009,90.6
01.11.2009,90.3
01.12.2009,89.4
01.01.2010,89.6
01.02.2010,89.8
01.03.2010,89.7
01.04.2010,90
01.05.2010,90
01.06.2010,90
01.07.2010,90
01.08.2010,90.2
01.09.2010,90.3
01.10.2010,91.1
01.11.2010,91.3
01.12.2010,91.4
01.01.2011,92.4
01.02.2011,92.7
01.03.2011,92.7
01.04.2011,92.9
01.05.2011,93
01.06.2011,93.1
01.07.2011,93.7
01.08.2011,94.2
01.09.2011,95.4
01.10.2011,97.4
01.11.2011,97.7
01.12.2011,97.9
01.01.2012,98.8
01.02.2012,99.1
01.03.2012,99.1
01.04.2012,99.2
01.05.2012,99.2
01.06.2012,99.2
01.07.2012,99.2
01.08.2012,99.6
01.09.2012,99.9
01.10.2012,100
01.11.2012,100.1
01.12.2012,100.1
01.01.2013,100.5
01.02.2013,100.5
01.03.2013,100.5
01.04.2013,100.6
01.05.2013,100.6
01.06.2013,100.8
01.07.2013,100.9
01.08.2013,100.9
01.09.2013,101.2
01.10.2013,101.1
01.11.2013,101.2
01.12.2013,101.2
01.01.2014,101.1
01.02.2014,101.1
01.03.2014,101.1
01.04.2014,101.1
01.05.2014,101.1
01.06.2014,101.1
01.07.2014,101
01.08.2014,101.1
01.09.2014,101
01.10.2014,101
01.11.2014,101
01.12.2014,100.4
01.01.2015,100.4
01.02.2015,100.4
01.03.2015,100.3
01.04.2015,100.1
01.05.2015,100.1
01.06.2015,100.1
01.07.2015,99.9
01.08.2015,99.9
01.09.2015,99.8
01.10.2015,99.7
01.11.2015,99.7
01.12.2015,99.5
01.01.2016,98.4
01.02.2016,98.2
01.03.2016,98.2
01.04.2016,98
01.05.2016,97.9
01.06.2016,97.6
01.07.2016,97.3
01.08.2016,97.2
01.09.2016,97
01.10.2016,96.3
01.11.2016,96
01.12.2016,96
01.01.2017,94
01.02.2017,93.8
01.03.2017,93.6
01.04.2017,93.5
01.05.2017,93.4
01.06.2017,93.4
01.07.2017,93.2
01.08.2017,93.2
01.09.2017,93.3
01.10.2017,93.2
01.11.2017,93.2
01.12.2017,93.2
01.01.2018,92.7
01.02.2018,92.6
01.03.2018,92.5
01.04.2018,92.5
01.05.2018,92.5
01.06.2018,91.9
01.07.2018,91.9
01.08.2018,91.8
01.09.2018,91.8
01.10.2018,91.8
01.11.2018,91.9
01.12.2018,92
01.01.2019,94.6
01.02.2019,94.8
01.03.2019,95
01.04.2019,95.5
01.05.2019,95.6
01.06.2019,95.7
01.07.2019,95.9
01.08.2019,96
01.09.2019,96.1
01.10.2019,96.5
01.11.2019,96.6
01.12.2019,96.8
01.01.2020,97
01.02.2020,97.1
01.03.2020,97.2
01.04.2020,97.2
01.05.2020,97.2
01.06.2020,97.1
01.07.2020,95.1
01.08.2020,95.3
01.09.2020,95.1
01.10.2020,95.1
01.11.2020,94.8
01.12.2020,94.9
01.01.2021,98.9
01.02.2021,99.1
01.03.2021,99.3
01.04.2021,99.2
01.05.2021,99.3
01.06.2021,99.4
01.07.2021,99.6
01.08.2021,100
01.09.2021,100.5
01.10.2021,102.1
01.11.2021,103.9
01.12.2021,106.4
01.01.2022,130.7
01.02.2022,134.5
01.03.2022,140.8
01.04.2022,146.3
01.05.2022,154.1
01.06.2022,159.7
01.07.2022,174.4
01.08.2022,183.8
01.09.2022,196.1
01.10.2022,214.2
01.11.2022,220.5
01.12.2022,134.2
