Date,"Physical Flow,kWh/day"
18.10.2019,1694575132.00
19.10.2019,1696639280.00
20.10.2019,1696608439.00
21.10.2019,1696161525.00
22.10.2019,1697981626.00
23.10.2019,1695371760.00
24.10.2019,1677898542.00
25.10.2019,1718566663.00
26.10.2019,1771746891.00
27.10.2019,1701423422.00
28.10.2019,1713122010.00
29.10.2019,1714079843.00
30.10.2019,1755101782.00
31.10.2019,1762679289.00
01.11.2019,1716325493.00
02.11.2019,1727029234.00
03.11.2019,1728048775.00
04.11.2019,1737593478.00
05.11.2019,1732963906.00
06.11.2019,1749245565.00
07.11.2019,1747279526.00
08.11.2019,1730537631.00
09.11.2019,1747475526.00
10.11.2019,1748795481.00
11.11.2019,1759160850.00
12.11.2019,1759493514.00
13.11.2019,1757318232.00
14.11.2019,1751406640.00
15.11.2019,1753506576.00
16.11.2019,1732757473.00
17.11.2019,1733518380.00
18.11.2019,1752919203.00
19.11.2019,1748218811.00
20.11.2019,1749359159.00
21.11.2019,1761587931.00
22.11.2019,1754817790.00
23.11.2019,1752105115.00
24.11.2019,1756072201.00
25.11.2019,1756483659.00
26.11.2019,1755269436.00
27.11.2019,1755084076.00
28.11.2019,1758194920.00
29.11.2019,1761156846.00
30.11.2019,1750532728.00
01.12.2019,1722859056.00
02.12.2019,1713714741.00
03.12.2019,1726186402.00
04.12.2019,1755855936.00
05.12.2019,1758442633.00
06.12.2019,1725983721.00
07.12.2019,1758696885.00
08.12.2019,1755612179.00
09.12.2019,1757802953.00
10.12.2019,1753825164.00
11.12.2019,1745094552.00
12.12.2019,1761908424.00
13.12.2019,1761868939.00
14.12.2019,1751662366.00
15.12.2019,1760748489.00
16.12.2019,1753283932.00
17.12.2019,1759859170.00
18.12.2019,1753821109.00
19.12.2019,1754535360.00
20.12.2019,1754694656.00
21.12.2019,1757172187.00
22.12.2019,1755000907.00
23.12.2019,1761709992.00
24.12.2019,1727827048.00
25.12.2019,1747141954.00
26.12.2019,1752537452.00
27.12.2019,1750226233.00
28.12.2019,1730360479.00
29.12.2019,1731676537.00
30.12.2019,1735203549.00
31.12.2019,1756892292.00
01.01.2020,1756802091.00
02.01.2020,1757988281.00
03.01.2020,1756310461.00
04.01.2020,1731149803.00
05.01.2020,1777991038.00
06.01.2020,1757712938.00
07.01.2020,1752339401.00
08.01.2020,1760601299.00
09.01.2020,1756677199.00
10.01.2020,1755194176.00
11.01.2020,1756130131.00
12.01.2020,1756114318.00
13.01.2020,1755390941.00
14.01.2020,1757435782.00
15.01.2020,1777347515.00
16.01.2020,1783808505.00
17.01.2020,1815121053.00
18.01.2020,1814430909.00
19.01.2020,1834996758.00
20.01.2020,1832562112.00
21.01.2020,1854283228.00
22.01.2020,1850767802.00
23.01.2020,1763582346.00
24.01.2020,1755506531.00
25.01.2020,1764234410.00
26.01.2020,1756477598.00
27.01.2020,1754758762.00
28.01.2020,1747747672.00
29.01.2020,1760677422.00
30.01.2020,1758639282.00
31.01.2020,1758201118.00
01.02.2020,1750538076.00
02.02.2020,1756892120.00
03.02.2020,1754634131.00
04.02.2020,1761311787.00
05.02.2020,1755707652.00
06.02.2020,1754334366.00
07.02.2020,1757254286.00
08.02.2020,1759100438.00
09.02.2020,1755981767.00
10.02.2020,1755435087.00
11.02.2020,1754800375.00
12.02.2020,1750578610.00
13.02.2020,1754477589.00
14.02.2020,1762369260.00
15.02.2020,1755861922.00
16.02.2020,1752939510.00
17.02.2020,1754020675.00
18.02.2020,1752408975.00
19.02.2020,1754309316.00
20.02.2020,1763385145.00
21.02.2020,1758745178.00
22.02.2020,1755193572.00
23.02.2020,1753140172.00
24.02.2020,1752743052.00
25.02.2020,1755079933.00
26.02.2020,1750983136.00
27.02.2020,1760631688.00
28.02.2020,1751601243.00
29.02.2020,1759686010.00
01.03.2020,1757939724.00
02.03.2020,1762590900.00
03.03.2020,1756713193.00
04.03.2020,1758679044.00
05.03.2020,1754478637.00
06.03.2020,1757030840.00
07.03.2020,1754232694.00
08.03.2020,1759174446.00
09.03.2020,1756612340.00
10.03.2020,1757628159.00
11.03.2020,1755869650.00
12.03.2020,1758450027.00
13.03.2020,1754801392.00
14.03.2020,1753411622.00
15.03.2020,1756577864.00
16.03.2020,1757917219.00
17.03.2020,1756106542.00
18.03.2020,1756481808.00
19.03.2020,1748326420.00
20.03.2020,1759989831.00
21.03.2020,1756859853.00
22.03.2020,1756729402.00
23.03.2020,1749112134.00
24.03.2020,1750168838.00
25.03.2020,1753515592.00
26.03.2020,1753296253.00
27.03.2020,1725216611.00
28.03.2020,1688576603.00
29.03.2020,1795217318.00
30.03.2020,1763208090.00
31.03.2020,1750017048.00
01.04.2020,1760940537.00
02.04.2020,1752194506.00
03.04.2020,1759289013.00
04.04.2020,1757721644.00
05.04.2020,1753519463.00
06.04.2020,1753462403.00
07.04.2020,1758727491.00
08.04.2020,1751799710.00
09.04.2020,1755486808.00
10.04.2020,1752780637.00
11.04.2020,1757817046.00
12.04.2020,1757982344.00
13.04.2020,1756013992.00
14.04.2020,1758246145.00
15.04.2020,1759604817.00
16.04.2020,1754529623.00
17.04.2020,1758491735.00
18.04.2020,1755975963.00
19.04.2020,1755848745.00
20.04.2020,1755777812.00
21.04.2020,1754473084.00
22.04.2020,1751948691.00
23.04.2020,1754658714.00
24.04.2020,1758889832.00
25.04.2020,1751722838.00
26.04.2020,1757012189.00
27.04.2020,1758959934.00
28.04.2020,1755732050.00
29.04.2020,1756427447.00
30.04.2020,1753514926.00
01.05.2020,1747085977.00
02.05.2020,1765274393.00
03.05.2020,1755451680.00
04.05.2020,1753425606.00
05.05.2020,1757264110.00
06.05.2020,1750688307.00
07.05.2020,1755301474.00
08.05.2020,1762271543.00
09.05.2020,1754743320.00
10.05.2020,1760493697.00
11.05.2020,1756629578.00
12.05.2020,1750316009.00
13.05.2020,1757634075.00
14.05.2020,1761909528.00
15.05.2020,1756068217.00
16.05.2020,1755337495.00
17.05.2020,1751056524.00
18.05.2020,1765887748.00
19.05.2020,1748630401.00
20.05.2020,1758089464.00
21.05.2020,1752098584.00
22.05.2020,1757922179.00
23.05.2020,1754053077.00
24.05.2020,1756236114.00
25.05.2020,1757347414.00
26.05.2020,1756870420.00
27.05.2020,1758089252.00
28.05.2020,1750227144.00
29.05.2020,1757752135.00
30.05.2020,1757222875.00
31.05.2020,1760339007.00
01.06.2020,1753079365.00
02.06.2020,1751714469.00
03.06.2020,1752587122.00
04.06.2020,1759671380.00
05.06.2020,1760715195.00
06.06.2020,1759048888.00
07.06.2020,1751280487.00
08.06.2020,1745497142.00
09.06.2020,1777403974.00
10.06.2020,1758665633.00
11.06.2020,1762783666.00
12.06.2020,1756972068.00
13.06.2020,1756794957.00
14.06.2020,1758794270.00
15.06.2020,1754577017.00
16.06.2020,1756165911.00
17.06.2020,1760165285.00
18.06.2020,1760070271.00
19.06.2020,1757382757.00
20.06.2020,1755775259.00
21.06.2020,1764265115.00
22.06.2020,1754517591.00
23.06.2020,1757874641.00
24.06.2020,1758256355.00
25.06.2020,1756959635.00
26.06.2020,1758291946.00
27.06.2020,1755048319.00
28.06.2020,1757902841.00
29.06.2020,1757985425.00
30.06.2020,1757524071.00
01.07.2020,1758130779.00
02.07.2020,1757745614.00
03.07.2020,1758011893.00
04.07.2020,1756576903.00
05.07.2020,1756046930.00
06.07.2020,1808667255.00
07.07.2020,1756098886.00
08.07.2020,1764373666.00
09.07.2020,1757410801.00
10.07.2020,1768891318.00
11.07.2020,1769154004.00
12.07.2020,1765867246.00
13.07.2020,1724850364.00
14.07.2020,513.00
15.07.2020,0.00
16.07.2020,0.00
17.07.2020,0.00
18.07.2020,0.00
19.07.2020,0.00
20.07.2020,0.00
21.07.2020,0.00
22.07.2020,0.00
23.07.2020,0.00
24.07.2020,42165.00
25.07.2020,1465.00
26.07.2020,1662584662.00
27.07.2020,1841211553.00
28.07.2020,1757305961.00
29.07.2020,1722332988.00
30.07.2020,1586048563.00
31.07.2020,1521063056.00
01.08.2020,1462897840.00
02.08.2020,1727401503.00
03.08.2020,1798736775.00
04.08.2020,1832141999.00
05.08.2020,1787174134.00
06.08.2020,1773947072.00
07.08.2020,1829619102.00
08.08.2020,1794718103.00
09.08.2020,1750978263.00
10.08.2020,1767760714.00
11.08.2020,1756826322.00
12.08.2020,1753067237.00
13.08.2020,1755789408.00
14.08.2020,1756283085.00
15.08.2020,1756325196.00
16.08.2020,1757603249.00
17.08.2020,1753674865.00
18.08.2020,1756543727.00
19.08.2020,1757574631.00
20.08.2020,1756650610.00
21.08.2020,1756093147.00
22.08.2020,1757572225.00
23.08.2020,1756631858.00
24.08.2020,1754642293.00
25.08.2020,1751920137.00
26.08.2020,1755113711.00
27.08.2020,1759108354.00
28.08.2020,1754860189.00
29.08.2020,1755074311.00
30.08.2020,1759102881.00
31.08.2020,1755696298.00
01.09.2020,1754020580.00
02.09.2020,1760080966.00
03.09.2020,1756536463.00
04.09.2020,1752577642.00
05.09.2020,1760747980.00
06.09.2020,1756519581.00
07.09.2020,1756473595.00
08.09.2020,1757434996.00
09.09.2020,1755622110.00
10.09.2020,1756196521.00
11.09.2020,1754720483.00
12.09.2020,1757572865.00
13.09.2020,1760397119.00
14.09.2020,1754393376.00
15.09.2020,1757326933.00
16.09.2020,1759339397.00
17.09.2020,1757365419.00
18.09.2020,1756717023.00
19.09.2020,1757932520.00
20.09.2020,1753896040.00
21.09.2020,1759489714.00
22.09.2020,1756156939.00
23.09.2020,1760011558.00
24.09.2020,1762154585.00
25.09.2020,1757754105.00
26.09.2020,1757169493.00
27.09.2020,1758313729.00
28.09.2020,1754038329.00
29.09.2020,1823126930.00
30.09.2020,1125159128.00
01.10.2020,1816983298.00
02.10.2020,1765381060.00
03.10.2020,1754582885.00
04.10.2020,1759846238.00
05.10.2020,1754994251.00
06.10.2020,1754209304.00
07.10.2020,1756636900.00
08.10.2020,1759041160.00
09.10.2020,1756551400.00
10.10.2020,1755820912.00
11.10.2020,1752369897.00
12.10.2020,1760645688.00
13.10.2020,1811851252.00
14.10.2020,1819232360.00
15.10.2020,1762506370.00
16.10.2020,1761989483.00
17.10.2020,1753019974.00
18.10.2020,1756004725.00
19.10.2020,1748910279.00
20.10.2020,1759494715.00
21.10.2020,1759320082.00
22.10.2020,1756104312.00
23.10.2020,1755879086.00
24.10.2020,1822614789.00
25.10.2020,1765675346.00
26.10.2020,1755190984.00
27.10.2020,1756674350.00
28.10.2020,1753357348.00
29.10.2020,1759303538.00
30.10.2020,1753664365.00
31.10.2020,1757332469.00
01.11.2020,1759358944.00
02.11.2020,1723138893.00
03.11.2020,1785566381.00
04.11.2020,1746068122.00
05.11.2020,1763898180.00
06.11.2020,1761480163.00
07.11.2020,1752309168.00
08.11.2020,1755919560.00
09.11.2020,1761050257.00
10.11.2020,1747313909.00
11.11.2020,1761565306.00
12.11.2020,1759568160.00
13.11.2020,1752504305.00
14.11.2020,1739725998.00
15.11.2020,1758584397.00
16.11.2020,1769527375.00
17.11.2020,1757187677.00
18.11.2020,1748601056.00
19.11.2020,1759714868.00
20.11.2020,1754407091.00
21.11.2020,1766111158.00
22.11.2020,1751290412.00
23.11.2020,1759188775.00
24.11.2020,1754000157.00
25.11.2020,1751934762.00
26.11.2020,1752415595.00
27.11.2020,1764458181.00
28.11.2020,1753278239.00
29.11.2020,1755087297.00
30.11.2020,1755927717.00
01.12.2020,1756498452.00
02.12.2020,1732815876.00
03.12.2020,1725177373.00
04.12.2020,1740834933.00
05.12.2020,1748822684.00
06.12.2020,1753749285.00
07.12.2020,1759808144.00
08.12.2020,1741741327.00
09.12.2020,1758165813.00
10.12.2020,1763702716.00
11.12.2020,1759848812.00
12.12.2020,1739021058.00
13.12.2020,1758431387.00
14.12.2020,1753924920.00
15.12.2020,1756924172.00
16.12.2020,1757197500.00
17.12.2020,1761534990.00
18.12.2020,1751778400.00
19.12.2020,1755804281.00
20.12.2020,1747447209.00
21.12.2020,1770097076.00
22.12.2020,1756782330.00
23.12.2020,1755458795.00
24.12.2020,1754645067.00
25.12.2020,1755714307.00
26.12.2020,1756632956.00
27.12.2020,1755388654.00
28.12.2020,1758408764.00
29.12.2020,1773040351.00
30.12.2020,1743936875.00
31.12.2020,1747694336.00
01.01.2021,1752576578.00
02.01.2021,1756905951.00
03.01.2021,1755915987.00
04.01.2021,1756150728.00
05.01.2021,1764924038.00
06.01.2021,1755864469.00
07.01.2021,1755481679.00
08.01.2021,1756952841.00
09.01.2021,1746104628.00
10.01.2021,1743357298.00
11.01.2021,1762688444.00
12.01.2021,1752661627.00
13.01.2021,1750068664.00
14.01.2021,1760459110.00
15.01.2021,1756703615.00
16.01.2021,1755055598.00
17.01.2021,1754949379.00
18.01.2021,1754381185.00
19.01.2021,1754623403.00
20.01.2021,1761419538.00
21.01.2021,1753343937.00
22.01.2021,1753489047.00
23.01.2021,1761188971.00
24.01.2021,1754870666.00
25.01.2021,1753063391.00
26.01.2021,1756369283.00
27.01.2021,1761590452.00
28.01.2021,1756329091.00
29.01.2021,1759053591.00
30.01.2021,1759946152.00
31.01.2021,1758788237.00
01.02.2021,1755887200.00
02.02.2021,1750366853.00
03.02.2021,1753555761.00
04.02.2021,1767359129.00
05.02.2021,1784648761.00
06.02.2021,1775835329.00
07.02.2021,1760919508.00
08.02.2021,1756353160.00
09.02.2021,1760659457.00
10.02.2021,1752868829.00
11.02.2021,1756219093.00
12.02.2021,1757283161.00
13.02.2021,1757748315.00
14.02.2021,1749680998.00
15.02.2021,1755467010.00
16.02.2021,1751764228.00
17.02.2021,1754031870.00
18.02.2021,1758619569.00
19.02.2021,1748751259.00
20.02.2021,1751371030.00
21.02.2021,1761926498.00
22.02.2021,1754156349.00
23.02.2021,1757260005.00
24.02.2021,1755924958.00
25.02.2021,1760926434.00
26.02.2021,1752866057.00
27.02.2021,1757790882.00
28.02.2021,1751777388.00
01.03.2021,1757634105.00
02.03.2021,1758470356.00
03.03.2021,1754275851.00
04.03.2021,1754949124.00
05.03.2021,1755346530.00
06.03.2021,1756589738.00
07.03.2021,1751058809.00
08.03.2021,1758784306.00
09.03.2021,1755439277.00
10.03.2021,1751289219.00
11.03.2021,1758390019.00
12.03.2021,1755191356.00
13.03.2021,1748210791.00
14.03.2021,1757260733.00
15.03.2021,1754663800.00
16.03.2021,1755784737.00
17.03.2021,1752395055.00
18.03.2021,1761889778.00
19.03.2021,1749458471.00
20.03.2021,1753712596.00
21.03.2021,1756502372.00
22.03.2021,1767267225.00
23.03.2021,1783538440.00
24.03.2021,1776800436.00
25.03.2021,1776910476.00
26.03.2021,1776639819.00
27.03.2021,1703386395.00
28.03.2021,1777113924.00
29.03.2021,1778051803.00
30.03.2021,1778389998.00
31.03.2021,1780949724.00
01.04.2021,1760039767.00
02.04.2021,1757100773.00
03.04.2021,1755977137.00
04.04.2021,1755870192.00
05.04.2021,1756094493.00
06.04.2021,1738642240.00
07.04.2021,1771898912.00
08.04.2021,1756355512.00
09.04.2021,1779464327.00
10.04.2021,1772339027.00
11.04.2021,1787203025.00
12.04.2021,1768619857.00
13.04.2021,1783418348.00
14.04.2021,1742451708.00
