date,prod_index
01.01.2010,73.6
01.02.2010,79.2
01.03.2010,96.7
01.04.2010,87.2
01.05.2010,86.5
01.06.2010,95.6
01.07.2010,90.1
01.08.2010,84.9
01.09.2010,99.5
01.10.2010,97.7
01.11.2010,101.5
01.12.2010,93.2
01.01.2011,86
01.02.2011,92.8
01.03.2011,107.6
01.04.2011,93.7
01.05.2011,104.9
01.06.2011,96
01.07.2011,97.2
01.08.2011,95.2
01.09.2011,105.2
01.10.2011,98.5
01.11.2011,106.1
01.12.2011,94.5
01.01.2012,90.8
01.02.2012,95.8
01.03.2012,107.1
01.04.2012,92.8
01.05.2012,97.7
01.06.2012,99.5
01.07.2012,99.1
01.08.2012,94.2
01.09.2012,97.4
01.10.2012,102.2
01.11.2012,102.9
01.12.2012,85.6
01.01.2013,89.8
01.02.2013,90.9
01.03.2013,98.3
01.04.2013,100.1
01.05.2013,93.4
01.06.2013,99.5
01.07.2013,100.6
01.08.2013,91.4
01.09.2013,101.8
01.10.2013,103.9
01.11.2013,104
01.12.2013,90.9
01.01.2014,92.6
01.02.2014,96.1
01.03.2014,103.6
01.04.2014,99
01.05.2014,97.7
01.06.2014,97.5
01.07.2014,105.1
01.08.2014,86.8
01.09.2014,106.5
01.10.2014,105.6
01.11.2014,102.7
01.12.2014,94
01.01.2015,88.4
01.02.2015,94.4
01.03.2015,108.7
01.04.2015,99.5
01.05.2015,92.9
01.06.2015,106.3
01.07.2015,105.9
01.08.2015,89.3
01.09.2015,106.7
01.10.2015,106.6
01.11.2015,105.9
01.12.2015,95.1
01.01.2016,87.7
01.02.2016,100
01.03.2016,105.9
01.04.2016,104.1
01.05.2016,96
01.06.2016,110.3
01.07.2016,96.5
01.08.2016,97.5
01.09.2016,108.7
01.10.2016,100
01.11.2016,110
01.12.2016,96.7
01.01.2017,94.1
01.02.2017,97.3
01.03.2017,115.6
01.04.2017,95.2
01.05.2017,106.6
01.06.2017,105.7
01.07.2017,100.7
01.08.2017,102.2
01.09.2017,109.2
01.10.2017,102.2
01.11.2017,116.6
01.12.2017,100
01.01.2018,100.9
01.02.2018,99.6
01.03.2018,112
01.04.2018,104.6
01.05.2018,103.7
01.06.2018,112.1
01.07.2018,104.9
01.08.2018,101.5
01.09.2018,104.9
01.10.2018,110.3
01.11.2018,111.6
01.12.2018,93.4
01.01.2019,98.4
01.02.2019,100.3
01.03.2019,108.8
01.04.2019,102.1
01.05.2019,106.7
01.06.2019,97.2
01.07.2019,105.8
01.08.2019,94.6
01.09.2019,105.1
01.10.2019,105.8
01.11.2019,105.4
01.12.2019,90.2
01.01.2020,95.1
01.02.2020,98.1
01.03.2020,100.5
01.04.2020,70.5
01.05.2020,76.5
01.06.2020,91.2
01.07.2020,94.9
01.08.2020,81.8
01.09.2020,100.7
01.10.2020,102.8
01.11.2020,105.7
01.12.2020,94
01.01.2021,85.8
01.02.2021,93.9
01.03.2021,112.2
01.04.2021,97.2
01.05.2021,93
01.06.2021,101.7
01.07.2021,97.4
01.08.2021,86.9
01.09.2021,99.6
01.10.2021,97.8
01.11.2021,104.8
01.12.2021,95.2
01.01.2022,89.1
01.02.2022,95
01.03.2022,106.6
01.04.2022,90.9
01.05.2022,98.6
01.06.2022,98.6
01.07.2022,92.6
01.08.2022,91.8
01.09.2022,104.4
01.10.2022,94
01.11.2022,105.5
01.12.2022,93.7
01.01.2023,91.6
