date,prod_index_seasonal,prod_index_adj
01.01.2010,74.1,85.9
01.02.2010,78.9,84.8
01.03.2010,96.8,87.3
01.04.2010,88.8,89.4
01.05.2010,88.1,91.9
01.06.2010,95.9,91.1
01.07.2010,91.5,90.9
01.08.2010,86.5,92.1
01.09.2010,99.7,93.3
01.10.2010,99,94.8
01.11.2010,102.7,94.3
01.12.2010,95.2,94.9
01.01.2011,85.3,95.7
01.02.2011,91.4,96.7
01.03.2011,106.3,96.9
01.04.2011,93.2,97.1
01.05.2011,103.8,98
01.06.2011,94.9,96.5
01.07.2011,96.8,99.4
01.08.2011,95.4,98.8
01.09.2011,104.2,97.3
01.10.2011,98.9,98.5
01.11.2011,106.6,98.1
01.12.2011,96.9,97
01.01.2012,89.6,97.3
01.02.2012,93.8,96.6
01.03.2012,106.5,98.6
01.04.2012,93.3,96.9
01.05.2012,97.8,98.5
01.06.2012,99.5,97.6
01.07.2012,99.5,98.3
01.08.2012,95.3,98.3
01.09.2012,97.7,97.5
01.10.2012,103.5,96.1
01.11.2012,104,95.4
01.12.2012,88.1,95.5
01.01.2013,88.5,94.8
01.02.2013,89.3,95.2
01.03.2013,97.6,96.4
01.04.2013,100.1,97.2
01.05.2013,93.4,96.3
01.06.2013,99,98
01.07.2013,101.4,96.9
01.08.2013,92.6,98.5
01.09.2013,101.8,98.2
01.10.2013,105.1,97.6
01.11.2013,104.6,99.2
01.12.2013,93.5,99.5
01.01.2014,91.4,99.2
01.02.2014,94.4,99.2
01.03.2014,102.2,99.1
01.04.2014,98.5,98.8
01.05.2014,97.1,98
01.06.2014,96.9,98.3
01.07.2014,104.6,99.8
01.08.2014,87.9,96.5
01.09.2014,105.9,98.7
01.10.2014,106.3,98.9
01.11.2014,103.3,98.9
01.12.2014,96.4,100.5
01.01.2015,86.1,98.9
01.02.2015,91.8,99.3
01.03.2015,107.2,99.5
01.04.2015,99.3,100.1
01.05.2015,92.8,100.3
01.06.2015,105.6,100
01.07.2015,106.3,101.3
01.08.2015,91,99.3
01.09.2015,106.6,99.2
01.10.2015,107.4,100
01.11.2015,107,99.1
01.12.2015,98.6,99.9
01.01.2016,85.5,101.5
01.02.2016,98,101.7
01.03.2016,105,100.8
01.04.2016,104.1,101.1
01.05.2016,96.6,99.7
01.06.2016,110.1,101.5
01.07.2016,98.2,100.5
01.08.2016,99.3,101.9
01.09.2016,109.1,101.6
01.10.2016,101.6,102.1
01.11.2016,111.3,101.9
01.12.2016,101,100.4
01.01.2017,91.1,100.9
01.02.2017,95.3,102.6
01.03.2017,114.4,102.1
01.04.2017,96.1,103.9
01.05.2017,107.2,104.2
01.06.2017,106.1,104.1
01.07.2017,101.9,104.5
01.08.2017,103.6,106.5
01.09.2017,109.2,105.5
01.10.2017,104,104.4
01.11.2017,117.2,107.4
01.12.2017,103.4,107.1
01.01.2018,98,106.3
01.02.2018,97.2,104.2
01.03.2018,110.2,105.5
01.04.2018,104.3,105.1
01.05.2018,103.7,107.1
01.06.2018,111.4,106.7
01.07.2018,106.1,105.1
01.08.2018,103,106
01.09.2018,105.1,105.4
01.10.2018,111.4,105.1
01.11.2018,112.8,103.3
01.12.2018,97.2,104.5
01.01.2019,96.2,104.1
01.02.2019,99,104.4
01.03.2019,108.2,105
01.04.2019,102.9,103.5
01.05.2019,106.9,103.8
01.06.2019,97.5,102.9
01.07.2019,107.2,102.6
01.08.2019,96.2,102.7
01.09.2019,105.7,102.2
01.10.2019,107.5,101.5
01.11.2019,107.4,101.9
01.12.2019,94.8,99.9
01.01.2020,94.1,103.2
01.02.2020,97.3,103.9
01.03.2020,102.5,94.7
01.04.2020,76.8,77.2
01.05.2020,80.9,84.3
01.06.2020,94.4,92.9
01.07.2020,97.8,93.6
01.08.2020,85.5,93.6
01.09.2020,102.8,96
01.10.2020,105.7,99.1
01.11.2020,108.6,100.5
01.12.2020,100.4,101.7
01.01.2021,84.3,99.2
01.02.2021,92.7,97.8
01.03.2021,113.2,100.8
01.04.2021,99.3,100.1
01.05.2021,95.3,99.2
01.06.2021,103.7,98.3
01.07.2021,99.8,99.1
01.08.2021,90.1,95.2
01.09.2021,102.2,95.4
01.10.2021,100.8,98
01.11.2021,107.6,98.6
01.12.2021,99.9,99.2
01.01.2022,88.3,100.1
01.02.2022,95.2,100.5
01.03.2022,108.2,96.3
01.04.2022,93.2,97.2
01.05.2022,100.5,97.5
01.06.2022,100,98.4
01.07.2022,95,97.7
01.08.2022,94,96.9
01.09.2022,105.1,98
01.10.2022,96,97.6
01.11.2022,107.2,98
01.12.2022,96.6,95.6
01.01.2023,90.1,98.9
