date,residual_load
01.01.2018,1645550789
02.01.2018,1817341902
03.01.2018,1801498808
04.01.2018,1731836533
05.01.2018,1665812620
06.01.2018,1722507046
07.01.2018,2011567400
08.01.2018,2166971075
09.01.2018,2055070585
10.01.2018,1881816040
11.01.2018,1906527734
12.01.2018,1958054564
13.01.2018,2033780707
14.01.2018,2196563251
15.01.2018,2191918752
16.01.2018,2088871859
17.01.2018,2243063736
18.01.2018,2133815254
19.01.2018,2160948581
20.01.2018,2159649197
21.01.2018,2187068655
22.01.2018,2127982747
23.01.2018,1897612540
24.01.2018,1576742866
25.01.2018,1588781182
26.01.2018,1676271078
27.01.2018,1749655197
28.01.2018,1647691901
29.01.2018,1623655528
30.01.2018,1790030843
31.01.2018,1779859998
01.02.2018,2012282855
02.02.2018,2061255452
03.02.2018,2119450083
04.02.2018,2289180393
05.02.2018,2413636943
06.02.2018,2518659407
07.02.2018,2535273214
08.02.2018,2572224505
09.02.2018,2511845610
10.02.2018,2359278302
11.02.2018,2255878858
12.02.2018,2332797044
13.02.2018,2341408686
14.02.2018,2364297443
15.02.2018,2371734819
16.02.2018,2143818651
17.02.2018,2249429366
18.02.2018,2212829185
19.02.2018,2277972986
20.02.2018,2323723282
21.02.2018,2356964174
22.02.2018,2436888533
23.02.2018,2523588875
24.02.2018,2609029066
25.02.2018,2766745531
26.02.2018,3016095486
27.02.2018,3104111392
28.02.2018,3275483222
01.03.2018,3187654091
02.03.2018,3049605261
03.03.2018,2774518405
04.03.2018,2277258386
05.03.2018,1938318390
06.03.2018,1907212850
07.03.2018,1911494051
08.03.2018,1827795949
09.03.2018,1744896795
10.03.2018,1469704363
11.03.2018,1258328453
12.03.2018,1331528559
13.03.2018,1564817957
14.03.2018,1681664162
15.03.2018,1692266642
16.03.2018,1965627060
17.03.2018,2462862895
18.03.2018,2550326777
19.03.2018,2460926015
20.03.2018,2353105009
21.03.2018,2198384654
22.03.2018,2145924977
23.03.2018,1932226213
24.03.2018,1619908401
25.03.2018,1554011245
26.03.2018,1649220112
27.03.2018,1612188742
28.03.2018,1662555583
29.03.2018,1695978622
30.03.2018,1489765271
31.03.2018,1505647494
01.04.2018,1672925579
02.04.2018,1444097809
03.04.2018,1046926967
04.04.2018,988537338
05.04.2018,1290504405
06.04.2018,1215075927
07.04.2018,859077629
08.04.2018,679118645
09.04.2018,664032764
10.04.2018,664656434
11.04.2018,783579488
12.04.2018,720683877
13.04.2018,792310614
14.04.2018,765598429
15.04.2018,701845072
16.04.2018,683702812
17.04.2018,602978409
18.04.2018,490398544
19.04.2018,398974664
20.04.2018,357868676
21.04.2018,360793594
22.04.2018,347465378
23.04.2018,387674309
24.04.2018,510818961
25.04.2018,566824875
26.04.2018,719873793
27.04.2018,636818344
28.04.2018,552242630
29.04.2018,485312239
30.04.2018,560496199
01.05.2018,775590987
02.05.2018,681480670
03.05.2018,628678968
04.05.2018,568590488
05.05.2018,483943514
06.05.2018,403950143
07.05.2018,353620365
08.05.2018,318414280
09.05.2018,304163470
10.05.2018,353583166
11.05.2018,376401890
12.05.2018,319002661
13.05.2018,339441063
14.05.2018,331652013
15.05.2018,337469465
16.05.2018,390788075
17.05.2018,449412196
18.05.2018,481733148
19.05.2018,449631202
20.05.2018,379770555
21.05.2018,326799690
22.05.2018,299603812
23.05.2018,294182248
24.05.2018,302749732
25.05.2018,274573317
26.05.2018,253696599
27.05.2018,245744003
28.05.2018,219866831
29.05.2018,219756831
30.05.2018,217464843
31.05.2018,209343978
01.06.2018,222923639
02.06.2018,235807399
03.06.2018,229231564
04.06.2018,225850723
05.06.2018,241689705
06.06.2018,228547781
07.06.2018,219921371
08.06.2018,219512087
09.06.2018,217105879
10.06.2018,209545505
11.06.2018,221551546
12.06.2018,268717069
13.06.2018,323107600
14.06.2018,293475884
15.06.2018,262103098
16.06.2018,244984408
17.06.2018,246108304
18.06.2018,253368905
19.06.2018,252394240
20.06.2018,227789572
21.06.2018,269202747
22.06.2018,349637179
23.06.2018,361031780
24.06.2018,360684735
25.06.2018,333288026
26.06.2018,317190881
27.06.2018,273695480
28.06.2018,258477222
29.06.2018,229959874
30.06.2018,220799786
01.07.2018,230900353
02.07.2018,238473790
03.07.2018,221942462
04.07.2018,221565105
05.07.2018,221411251
06.07.2018,231714240
07.07.2018,225627274
08.07.2018,221810923
09.07.2018,229877698
10.07.2018,263912569
11.07.2018,283596818
12.07.2018,250519963
13.07.2018,232998376
14.07.2018,220265568
15.07.2018,214061275
16.07.2018,214619906
17.07.2018,205951975
18.07.2018,209714695
19.07.2018,210916195
20.07.2018,202759645
21.07.2018,202716567
22.07.2018,204407499
23.07.2018,199197408
24.07.2018,182669433
25.07.2018,178174143
26.07.2018,179274155
27.07.2018,171270484
28.07.2018,175669860
29.07.2018,178959199
30.07.2018,165416452
31.07.2018,166525328
01.08.2018,176347484
02.08.2018,174097280
03.08.2018,168302171
04.08.2018,169389053
05.08.2018,170652735
06.08.2018,171085113
07.08.2018,166351154
08.08.2018,173471192
09.08.2018,170373915
10.08.2018,200002780
11.08.2018,210865669
12.08.2018,202478533
13.08.2018,205150248
14.08.2018,211320951
15.08.2018,211972049
16.08.2018,204454762
17.08.2018,198264739
18.08.2018,206336504
19.08.2018,195276739
20.08.2018,196427633
21.08.2018,199617067
22.08.2018,201514026
23.08.2018,192622658
24.08.2018,212416464
25.08.2018,277280241
26.08.2018,285090320
27.08.2018,279407245
28.08.2018,263186867
29.08.2018,243637534
30.08.2018,267232144
31.08.2018,306565243
01.09.2018,310124014
02.09.2018,304191972
03.09.2018,273272512
04.09.2018,258315308
05.09.2018,216745777
06.09.2018,253579505
07.09.2018,280514548
08.09.2018,305707893
09.09.2018,282210143
10.09.2018,268116160
11.09.2018,261847353
12.09.2018,271500086
13.09.2018,310996394
14.09.2018,317865251
15.09.2018,331496315
16.09.2018,326539038
17.09.2018,296433761
18.09.2018,264153523
19.09.2018,246651486
20.09.2018,234618572
21.09.2018,279027348
22.09.2018,378131388
23.09.2018,493113440
24.09.2018,642687642
25.09.2018,731923537
26.09.2018,717798649
27.09.2018,566863357
28.09.2018,668975871
29.09.2018,770946409
30.09.2018,763473446
01.10.2018,883780062
02.10.2018,1054020635
03.10.2018,919704207
04.10.2018,872587860
05.10.2018,710699347
06.10.2018,596055222
07.10.2018,719389487
08.10.2018,798107270
09.10.2018,740213481
10.10.2018,628907493
11.10.2018,535682621
12.10.2018,454371068
13.10.2018,411889836
14.10.2018,429035464
15.10.2018,468238368
16.10.2018,501425105
17.10.2018,530746750
18.10.2018,621471805
19.10.2018,755999329
20.10.2018,848934440
21.10.2018,902408833
22.10.2018,1037589029
23.10.2018,1139326994
24.10.2018,1008789734
25.10.2018,981890430
26.10.2018,1077262368
27.10.2018,1322703050
28.10.2018,1541551524
29.10.2018,1596207486
30.10.2018,1513748284
31.10.2018,1424668005
01.11.2018,1374383194
02.11.2018,1330083251
03.11.2018,1397993216
04.11.2018,1335440028
05.11.2018,1209927365
06.11.2018,1155845995
07.11.2018,1106971204
08.11.2018,1141691801
09.11.2018,1170627387
10.11.2018,1127049624
11.11.2018,1092704166
12.11.2018,1067032042
13.11.2018,1202113962
14.11.2018,1352668808
15.11.2018,1525841124
16.11.2018,1632332010
17.11.2018,1778018865
18.11.2018,1912815938
19.11.2018,1995130660
20.11.2018,2117500169
21.11.2018,2145522172
22.11.2018,2099857894
23.11.2018,2036434865
24.11.2018,1936717449
25.11.2018,1867211761
26.11.2018,1945023678
27.11.2018,2085102647
28.11.2018,2147115797
29.11.2018,1984518415
30.11.2018,1825585735
01.12.2018,1707382327
02.12.2018,1485150853
03.12.2018,1332375200
04.12.2018,1643586101
05.12.2018,1861643346
06.12.2018,1579470123
07.12.2018,1430745174
08.12.2018,1593852538
09.12.2018,1660556715
10.12.2018,1921823802
11.12.2018,2003759186
12.12.2018,2087528634
13.12.2018,2228943102
14.12.2018,2319051613
15.12.2018,2408013360
16.12.2018,2400605204
17.12.2018,2206010863
18.12.2018,2069077546
19.12.2018,2034573661
20.12.2018,1871180647
21.12.2018,1662348512
22.12.2018,1568436451
23.12.2018,1593446142
24.12.2018,1855214191
25.12.2018,1952260531
26.12.2018,2037398244
27.12.2018,2065180005
28.12.2018,2053819714
29.12.2018,1940178216
30.12.2018,1813023340
31.12.2018,1710972695
01.01.2019,696229906
02.01.2019,2140348303
03.01.2019,2302012492
04.01.2019,2200122399
05.01.2019,1975276697
06.01.2019,1952643892
07.01.2019,1981341638
08.01.2019,2046639001
09.01.2019,2251167534
10.01.2019,2337366362
11.01.2019,2215158062
12.01.2019,2021973083
13.01.2019,1899191192
14.01.2019,2138072886
15.01.2019,2086602785
16.01.2019,1996667042
17.01.2019,2101529480
18.01.2019,2353836834
19.01.2019,2481994565
20.01.2019,2652446424
21.01.2019,2796296651
22.01.2019,2798917779
23.01.2019,2862176094
24.01.2019,2898319422
25.01.2019,2750579718
26.01.2019,2292293146
27.01.2019,2103159570
28.01.2019,2307491543
29.01.2019,2386561947
30.01.2019,2483761249
31.01.2019,2454796168
01.02.2019,2355412369
02.02.2019,2269778794
03.02.2019,2323443249
04.02.2019,2353718778
05.02.2019,2304792866
06.02.2019,2229270250
07.02.2019,2120115793
08.02.2019,1925943480
09.02.2019,1772878013
10.02.2019,1814427443
11.02.2019,2032127330
12.02.2019,2085978371
13.02.2019,1985420533
14.02.2019,1898132269
15.02.2019,1742048863
16.02.2019,1610490649
17.02.2019,1586402148
18.02.2019,1560682378
19.02.2019,1653357018
20.02.2019,1642689842
21.02.2019,1544594152
22.02.2019,1599054229
23.02.2019,1788795394
24.02.2019,1705100502
25.02.2019,1570141770
26.02.2019,1478805986
27.02.2019,1356345664
28.02.2019,1341456842
01.03.2019,1511062049
02.03.2019,1531424010
03.03.2019,1380574664
04.03.2019,1483142265
05.03.2019,1665318314
06.03.2019,1463627649
07.03.2019,1401109827
08.03.2019,1521227919
09.03.2019,1502597693
10.03.2019,1612904653
11.03.2019,1908105466
12.03.2019,1748382733
13.03.2019,1782257052
14.03.2019,1818264630
15.03.2019,1637988573
16.03.2019,1524045989
17.03.2019,1550287868
18.03.2019,1751302762
19.03.2019,1712520078
20.03.2019,1560390346
21.03.2019,1316542982
22.03.2019,1133277444
23.03.2019,1175841182
24.03.2019,1287804695
25.03.2019,1541935720
26.03.2019,1596008819
27.03.2019,1466726586
28.03.2019,1321936654
29.03.2019,1101078406
30.03.2019,920865245
31.03.2019,1107433579
01.04.2019,1168239726
02.04.2019,1056508724
03.04.2019,1125632338
04.04.2019,1302267982
05.04.2019,1321620439
06.04.2019,1013794620
07.04.2019,853245435
08.04.2019,889350149
09.04.2019,1029528341
10.04.2019,1203422272
11.04.2019,1360971945
12.04.2019,1568322802
13.04.2019,1633801613
14.04.2019,1562872881
15.04.2019,1221094935
16.04.2019,1029204751
17.04.2019,898909356
18.04.2019,716792813
19.04.2019,582104332
20.04.2019,550103054
21.04.2019,520271373
22.04.2019,498108515
23.04.2019,497854960
24.04.2019,453722109
25.04.2019,461529206
26.04.2019,613061466
27.04.2019,763593086
28.04.2019,895262545
29.04.2019,973996464
30.04.2019,830644426
01.05.2019,778913263
02.05.2019,833074093
03.05.2019,977691408
04.05.2019,1205726410
05.05.2019,1227309794
06.05.2019,1243519811
07.05.2019,1128249106
08.05.2019,1055307635
09.05.2019,909051477
10.05.2019,880961513
11.05.2019,952344887
12.05.2019,981438825
13.05.2019,925430896
14.05.2019,930116117
15.05.2019,921243950
16.05.2019,972199277
17.05.2019,808138615
18.05.2019,564111616
19.05.2019,488162523
20.05.2019,552476797
21.05.2019,663037172
22.05.2019,680252235
23.05.2019,542516984
24.05.2019,441400463
25.05.2019,479927514
26.05.2019,451996057
27.05.2019,443864561
28.05.2019,543601370
29.05.2019,562185750
30.05.2019,482350952
31.05.2019,367254364
01.06.2019,301903883
02.06.2019,258241363
03.06.2019,253949306
04.06.2019,253475406
05.06.2019,229347128
06.06.2019,292196980
07.06.2019,290049757
08.06.2019,321237261
09.06.2019,293480421
10.06.2019,279066095
11.06.2019,286539720
12.06.2019,310032595
13.06.2019,295897111
14.06.2019,253743588
15.06.2019,248142516
16.06.2019,269938683
17.06.2019,244883494
18.06.2019,226485972
19.06.2019,208953349
20.06.2019,223950751
21.06.2019,248145579
22.06.2019,241582940
23.06.2019,227848971
24.06.2019,202970443
25.06.2019,198339234
26.06.2019,195931813
27.06.2019,213001716
28.06.2019,218752811
29.06.2019,196138416
30.06.2019,181937841
01.07.2019,197830923
02.07.2019,225335398
03.07.2019,241366030
04.07.2019,258847308
05.07.2019,242111553
06.07.2019,231929590
07.07.2019,273056504
08.07.2019,314400095
09.07.2019,331605469
10.07.2019,297154290
11.07.2019,286848885
12.07.2019,272096103
13.07.2019,282704459
14.07.2019,305869620
15.07.2019,320733788
16.07.2019,331844201
17.07.2019,292324434
18.07.2019,254912281
19.07.2019,228239827
20.07.2019,221597698
21.07.2019,220599989
22.07.2019,213438483
23.07.2019,198811878
24.07.2019,186140058
25.07.2019,175864230
26.07.2019,178249468
27.07.2019,172865253
28.07.2019,189760272
29.07.2019,198340695
30.07.2019,197766751
31.07.2019,206528602
01.08.2019,209960640
02.08.2019,208637209
03.08.2019,218261510
04.08.2019,212755058
05.08.2019,208483857
06.08.2019,204523701
07.08.2019,222121911
08.08.2019,218477140
09.08.2019,212528723
10.08.2019,206953756
11.08.2019,214188251
12.08.2019,231412022
13.08.2019,272078743
14.08.2019,274902903
15.08.2019,274605923
16.08.2019,259704032
17.08.2019,245600012
18.08.2019,251747134
19.08.2019,248468010
20.08.2019,277405953
21.08.2019,282488323
22.08.2019,261397289
23.08.2019,245631024
24.08.2019,219171552
25.08.2019,201228389
26.08.2019,196973229
27.08.2019,197936959
28.08.2019,189268984
29.08.2019,201218615
30.08.2019,205735891
31.08.2019,193949368
01.09.2019,210388064
02.09.2019,253661053
03.09.2019,281732770
04.09.2019,270532531
05.09.2019,327129826
06.09.2019,353797683
07.09.2019,371928806
08.09.2019,426008676
09.09.2019,477490838
10.09.2019,476865458
11.09.2019,431236415
12.09.2019,355317602
13.09.2019,348847143
14.09.2019,375293007
15.09.2019,367817171
16.09.2019,407652127
17.09.2019,497743750
18.09.2019,582922353
19.09.2019,638645139
20.09.2019,639920389
21.09.2019,534879058
22.09.2019,444581082
23.09.2019,475082123
24.09.2019,478645610
25.09.2019,497624404
26.09.2019,500372677
27.09.2019,495689739
28.09.2019,521493303
29.09.2019,548554526
30.09.2019,584882492
01.10.2019,620141020
02.10.2019,758095566
03.10.2019,856922987
04.10.2019,948311839
05.10.2019,982094167
06.10.2019,1126613633
07.10.2019,1119263649
08.10.2019,999552631
09.10.2019,987253459
10.10.2019,996071800
11.10.2019,908054356
12.10.2019,720955004
13.10.2019,557531889
14.10.2019,522932417
15.10.2019,571999874
16.10.2019,707547362
17.10.2019,706283429
18.10.2019,738899132
19.10.2019,822375392
20.10.2019,797506253
21.10.2019,775792757
22.10.2019,840095376
23.10.2019,845469707
24.10.2019,772334904
25.10.2019,767080285
26.10.2019,749532153
27.10.2019,935389271
28.10.2019,1199728712
29.10.2019,1365330692
30.10.2019,1575499819
31.10.2019,1661092205
01.11.2019,1571050941
02.11.2019,1143462942
03.11.2019,1104083012
04.11.2019,1163714481
05.11.2019,1251408449
06.11.2019,1354427283
07.11.2019,1431139237
08.11.2019,1527206418
09.11.2019,1622409020
10.11.2019,1756361300
11.11.2019,1886453589
12.11.2019,1831189926
13.11.2019,1847445280
14.11.2019,1829772432
15.11.2019,1818347803
16.11.2019,1808532302
17.11.2019,1870554117
18.11.2019,1819688201
19.11.2019,1856219664
20.11.2019,1960514701
21.11.2019,1894605023
22.11.2019,1806393700
23.11.2019,1722613412
24.11.2019,1767396716
25.11.2019,1795185318
26.11.2019,1624362675
27.11.2019,1518047181
28.11.2019,1486054698
29.11.2019,1738000618
30.11.2019,1949971961
01.12.2019,2100994294
02.12.2019,2094058242
03.12.2019,2014506660
04.12.2019,2117674108
05.12.2019,2281220086
06.12.2019,2108926191
07.12.2019,1740607162
08.12.2019,1646065677
09.12.2019,1799958006
10.12.2019,2021554155
11.12.2019,2074871902
12.12.2019,2086623547
13.12.2019,2110544948
14.12.2019,1933132404
15.12.2019,1773397677
16.12.2019,1743941065
17.12.2019,1528926021
18.12.2019,1613342985
19.12.2019,1657392979
20.12.2019,1612860101
21.12.2019,1615892445
22.12.2019,1660824244
23.12.2019,1666311646
24.12.2019,1661836802
25.12.2019,1663021794
26.12.2019,1781303063
27.12.2019,1942614843
28.12.2019,2196020372
29.12.2019,2281683411
30.12.2019,2133681316
31.12.2019,2118719569
01.01.2020,2237244494
02.01.2020,2312545112
03.01.2020,1993149043
04.01.2020,1997654927
05.01.2020,2002762198
06.01.2020,2091263035
07.01.2020,2033858403
08.01.2020,1828970139
09.01.2020,1579485757
10.01.2020,1657025942
11.01.2020,1900544367
12.01.2020,1951101884
13.01.2020,1884993483
14.01.2020,1726653520
15.01.2020,1561396368
16.01.2020,1652306138
17.01.2020,1727036087
18.01.2020,1886319665
19.01.2020,2008965129
20.01.2020,2129911024
21.01.2020,2262536485
22.01.2020,2299207262
23.01.2020,2264457721
24.01.2020,2333881498
25.01.2020,2266029063
26.01.2020,2107669599
27.01.2020,1931474036
28.01.2020,2021586360
29.01.2020,2089906511
30.01.2020,1823229803
31.01.2020,1461843789
01.02.2020,1404252514
02.02.2020,1522305237
03.02.2020,1573694671
04.02.2020,1866065088
05.02.2020,1974288069
06.02.2020,2038598603
07.02.2020,1991017407
08.02.2020,1899047379
09.02.2020,1602883728
10.02.2020,1751527255
11.02.2020,1998992523
12.02.2020,2074918641
13.02.2020,2055303341
14.02.2020,1891345649
15.02.2020,1626933902
16.02.2020,1367280740
17.02.2020,1570796572
18.02.2020,1711871574
19.02.2020,1838982397
20.02.2020,1792550685
21.02.2020,1787596700
22.02.2020,1628077506
23.02.2020,1615269341
24.02.2020,1690426310
25.02.2020,1675553578
26.02.2020,1975532180
27.02.2020,2070392415
28.02.2020,1935450652
29.02.2020,1652450459
01.03.2020,1651502579
02.03.2020,1670315964
03.03.2020,1786482407
04.03.2020,1825088029
05.03.2020,1775108391
06.03.2020,1848661568
07.03.2020,1780599800
08.03.2020,1606927494
09.03.2020,1612604031
10.03.2020,1631865306
11.03.2020,1322995215
12.03.2020,1371936898
13.03.2020,1612130748
14.03.2020,1592359512
15.03.2020,1403288093
16.03.2020,1237359738
17.03.2020,1194835362
18.03.2020,1113719756
19.03.2020,1080041133
20.03.2020,1264657009
21.03.2020,1603499318
22.03.2020,1728199929
23.03.2020,1837054947
24.03.2020,1790321163
25.03.2020,1718452989
26.03.2020,1635155006
27.03.2020,1337660420
28.03.2020,1190228963
29.03.2020,1711970300
30.03.2020,1855914305
31.03.2020,1786967240
01.04.2020,1678317849
02.04.2020,1512324857
03.04.2020,1482430752
04.04.2020,1295557672
05.04.2020,1046158503
06.04.2020,828948181
07.04.2020,735751569
08.04.2020,645628013
09.04.2020,656251790
