Wert,Zahl
01.01.2005,5.17 
01.02.2005,5.18 
01.03.2005,5.19 
01.04.2005,5.21 
01.05.2005,5.21 
01.06.2005,5.22 
01.07.2005,5.33 
01.08.2005,5.45 
01.09.2005,5.49 
01.10.2005,5.73 
01.11.2005,5.76 
01.12.2005,5.78 
01.01.2006,6.20 
01.02.2006,6.24 
01.03.2006,6.25 
01.04.2006,6.30 
01.05.2006,6.32 
01.06.2006,6.33 
01.07.2006,6.36 
01.08.2006,6.36 
01.09.2006,6.38 
01.10.2006,6.56 
01.11.2006,6.62 
01.12.2006,6.62 
01.01.2007,6.80 
01.02.2007,6.79 
01.03.2007,6.76 
01.04.2007,6.50 
01.05.2007,6.45 
01.06.2007,6.43 
01.07.2007,6.40 
01.08.2007,6.40 
01.09.2007,6.39 
01.10.2007,6.43 
01.11.2007,6.42 
01.12.2007,6.43 
01.01.2008,6.66 
01.02.2008,6.67 
01.03.2008,6.68 
01.04.2008,6.80 
01.05.2008,6.83 
01.06.2008,6.84 
01.07.2008,6.95 
01.08.2008,7.15 
01.09.2008,7.45 
01.10.2008,7.90 
01.11.2008,7.98 
01.12.2008,8.09 
01.01.2009,7.98 
01.02.2009,7.85 
01.03.2009,7.77 
01.04.2009,6.85 
01.05.2009,6.77 
01.06.2009,6.74 
01.07.2009,6.41 
01.08.2009,6.38 
01.09.2009,6.36 
01.10.2009,6.11 
01.11.2009,6.08 
01.12.2009,6.07 
01.01.2010,6.07 
01.02.2010,6.07 
01.03.2010,6.07 
01.04.2010,6.07 
01.05.2010,6.06 
01.06.2010,6.04 
01.07.2010,6.05 
01.08.2010,6.04 
01.09.2010,6.05 
01.10.2010,6.11 
01.11.2010,6.11 
01.12.2010,6.14 
01.01.2011,6.19 
01.02.2011,6.21 
01.03.2011,6.21 
01.04.2011,6.20 
01.05.2011,6.20 
01.06.2011,6.17 
01.07.2011,6.23 
01.08.2011,6.28 
01.09.2011,6.39 
01.10.2011,6.46 
01.11.2011,6.47 
01.12.2011,6.52 
01.01.2012,6.49 
01.02.2012,6.57 
01.03.2012,6.54 
01.04.2012,6.55 
01.05.2012,6.55 
01.06.2012,6.57 
01.07.2012,6.61 
01.08.2012,6.55 
01.09.2012,6.63 
01.10.2012,6.64 
01.11.2012,6.55 
01.12.2012,6.62 
01.01.2013,6.76 
01.02.2013,6.77 
01.03.2013,6.77 
01.04.2013,6.79 
01.05.2013,6.79 
01.06.2013,6.78 
01.07.2013,6.83 
01.08.2013,6.84 
01.09.2013,6.84 
01.10.2013,6.82 
01.11.2013,6.80 
01.12.2013,6.80 
01.01.2014,6.74 
01.02.2014,6.73 
01.03.2014,6.72 
01.04.2014,6.72 
01.05.2014,6.69 
01.06.2014,6.69 
01.07.2014,6.68 
01.08.2014,6.67 
01.09.2014,6.66 
01.10.2014,6.65 
01.11.2014,6.63 
01.12.2014,6.61 
01.01.2015,6.60 
01.02.2015,6.57 
01.03.2015,6.56 
01.04.2015,6.54 
01.05.2015,6.54 
01.06.2015,6.53 
01.07.2015,6.50 
01.08.2015,6.48 
01.09.2015,6.44 
01.10.2015,6.34 
01.11.2015,6.32 
01.12.2015,6.38 
01.01.2016,6.29 
01.02.2016,6.20 
01.03.2016,6.26 
01.04.2016,6.26 
01.05.2016,6.22 
01.06.2016,6.13 
01.07.2016,6.04 
01.08.2016,6.02 
01.09.2016,5.99 
01.10.2016,5.92 
01.11.2016,5.90 
01.12.2016,5.88 
01.01.2017,5.80 
01.02.2017,5.81 
01.03.2017,5.84 
01.04.2017,5.81 
01.05.2017,5.78 
01.06.2017,5.80 
01.07.2017,5.80 
01.08.2017,5.76 
01.09.2017,5.75 
01.10.2017,5.76 
01.11.2017,5.74 
01.12.2017,5.77 
01.01.2018,5.75 
01.02.2018,5.64 
01.03.2018,5.60 
01.04.2018,5.58 
01.05.2018,5.56 
01.06.2018,5.56 
01.07.2018,5.57 
01.08.2018,5.57 
01.09.2018,5.58 
01.10.2018,5.60 
01.11.2018,5.73 
01.12.2018,5.85 
01.01.2019,5.98 
01.02.2019,5.99 
01.03.2019,6.10 
01.04.2019,6.12 
01.05.2019,6.10 
01.06.2019,6.10 
01.07.2019,6.08 
01.08.2019,6.08 
01.09.2019,6.05 
01.10.2019,6.06 
01.11.2019,6.04 
01.12.2019,6.03 
01.01.2020,6.03 
01.02.2020,5.89 
01.03.2020,5.83 
01.04.2020,5.81 
01.05.2020,5.71 
01.06.2020,5.68 
01.07.2020,5.47 
01.08.2020,5.46 
01.09.2020,5.44 
01.10.2020,5.47 
01.11.2020,5.47 
01.12.2020,5.59 
01.01.2021,5.81 
01.02.2021,5.81 
01.03.2021,5.81 
01.04.2021,5.92 
01.05.2021,5.98 
01.06.2021,6.10 
01.07.2021,6.18 
01.08.2021,6.29 
01.09.2021,6.49 
01.10.2021,7.01
01.11.2021,8.83
01.12.2021,8.52
01.01.2022,15.42
01.02.2022,14.15
01.03.2022,12.98
01.04.2022,13.94
01.05.2022,12.64
01.06.2022,12.88
01.07.2022,16.00
01.08.2022,17.84
01.09.2022,21.75
01.10.2022,20.54
01.11.2022,17.79
01.12.2022,16.43
01.01.2023,18.30
