date,week,yearweek,hdd16,wind_speed,cloud_cover_total,month
01.01.2018,1,2018-W01,9.606330089,6.220515315,84.97649214,1
02.01.2018,1,2018-W01,11.58458432,5.011922026,92.25741576,1
03.01.2018,1,2018-W01,9.976220096,8.312785979,91.19470957,1
04.01.2018,1,2018-W01,9.378155684,6.006359555,92.5396364,1
05.01.2018,1,2018-W01,8.879715108,5.068565082,89.88273048,1
06.01.2018,1,2018-W01,10.66867953,2.50592627,89.81874864,1
07.01.2018,1,2018-W01,13.50979574,4.557679547,83.213395,1
08.01.2018,2,2018-W02,13.97769941,4.851713003,71.17810641,1
09.01.2018,2,2018-W02,12.38740197,3.877139434,77.2555849,1
10.01.2018,2,2018-W02,11.36774141,2.537789917,84.77948345,1
11.01.2018,2,2018-W02,12.55085372,1.498806867,90.58841389,1
12.01.2018,2,2018-W02,13.09196749,2.128860617,96.70710119,1
13.01.2018,2,2018-W02,13.80203347,3.738768093,94.55051631,1
14.01.2018,2,2018-W02,15.63918638,4.024841318,59.08898548,1
15.01.2018,3,2018-W03,14.3445356,5.328646465,79.0336894,1
16.01.2018,3,2018-W03,12.25487832,6.05866186,87.0453412,1
17.01.2018,3,2018-W03,14.45927603,6.110792497,86.73461155,1
18.01.2018,3,2018-W03,12.5219254,7.530050308,88.32218708,1
19.01.2018,3,2018-W03,13.97545852,4.086504451,85.89735556,1
20.01.2018,3,2018-W03,14.73773929,3.316183037,92.36100864,1
21.01.2018,3,2018-W03,15.33326457,2.842978484,91.3231857,1
22.01.2018,4,2018-W04,13.60630361,3.666719911,96.23515203,1
23.01.2018,4,2018-W04,11.04091409,3.863722356,95.82760527,1
24.01.2018,4,2018-W04,7.212852359,5.485018058,91.2450012,1
25.01.2018,4,2018-W04,8.354010024,3.615425664,94.30412374,1
26.01.2018,4,2018-W04,10.49311559,1.899996212,94.21521037,1
27.01.2018,4,2018-W04,11.56527466,2.756783656,90.0657916,1
28.01.2018,4,2018-W04,9.273007878,5.959407916,95.14130222,1
29.01.2018,5,2018-W05,7.978930204,6.730994494,89.97289291,1
30.01.2018,5,2018-W05,11.41521552,3.811788713,77.49156584,1
31.01.2018,5,2018-W05,10.18098553,5.420615539,93.05530973,1
01.02.2018,5,2018-W05,13.46856032,4.488234714,73.74665488,2
02.02.2018,5,2018-W05,14.05129575,4.071886969,85.96081481,2
03.02.2018,5,2018-W05,15.03402678,2.689385374,95.11453324,2
04.02.2018,5,2018-W05,16.7653416,2.75948914,87.2630933,2
05.02.2018,6,2018-W06,17.22896971,3.63177676,56.51529286,2
06.02.2018,6,2018-W06,18.3728539,2.763388599,67.26516424,2
07.02.2018,6,2018-W06,18.29992744,2.194766842,52.85342313,2
08.02.2018,6,2018-W06,18.74731303,1.53631776,53.65792893,2
09.02.2018,6,2018-W06,17.78389029,2.546654837,69.8321191,2
10.02.2018,6,2018-W06,15.88690032,2.697534823,90.30304129,2
11.02.2018,6,2018-W06,14.47745036,4.909785566,89.15014596,2
12.02.2018,7,2018-W07,15.40969425,4.107853431,71.40601947,2
13.02.2018,7,2018-W07,16.67375559,3.084888798,24.16929175,2
14.02.2018,7,2018-W07,17.29891096,3.194989835,17.63134357,2
15.02.2018,7,2018-W07,15.6539792,4.302112526,90.07089928,2
16.02.2018,7,2018-W07,13.52515575,2.818353763,59.5476931,2
17.02.2018,7,2018-W07,15.54426994,2.300549107,84.84732816,2
18.02.2018,7,2018-W07,15.7778808,2.308291582,60.17972877,2
19.02.2018,8,2018-W08,16.24065704,2.003098314,86.98862667,2
20.02.2018,8,2018-W08,16.76403267,2.297190695,60.52985765,2
21.02.2018,8,2018-W08,16.94162823,3.145078827,50.35255821,2
22.02.2018,8,2018-W08,17.46010941,4.347597846,46.49550608,2
23.02.2018,8,2018-W08,18.42638987,4.687703393,35.33684433,2
24.02.2018,8,2018-W08,18.7344922,5.691560119,30.85733534,2
25.02.2018,8,2018-W08,21.50411865,4.714855863,31.79161198,2
26.02.2018,9,2018-W09,22.9070502,4.450543091,57.40074099,2
27.02.2018,9,2018-W09,24.00524852,3.653170451,54.30960352,2
28.02.2018,9,2018-W09,25.11765888,5.080217117,35.759645,2
01.03.2018,9,2018-W09,22.61364195,6.160844152,66.5699931,3
02.03.2018,9,2018-W09,21.65870147,4.833643051,65.97374199,3
03.03.2018,9,2018-W09,19.19638772,3.634648575,66.41604561,3
04.03.2018,9,2018-W09,14.23420096,3.750271948,75.02535024,3
05.03.2018,10,2018-W10,11.23558294,3.246453244,76.35000598,3
06.03.2018,10,2018-W10,12.72940836,2.318885974,84.12375513,3
07.03.2018,10,2018-W10,12.24128993,3.226440201,87.71005378,3
08.03.2018,10,2018-W10,11.09722769,4.847390582,79.46071114,3
09.03.2018,10,2018-W10,10.71787148,3.652756187,84.82853505,3
10.03.2018,10,2018-W10,7.506141941,3.252580062,94.45832385,3
11.03.2018,10,2018-W10,5.629885922,3.010623124,86.4787007,3
12.03.2018,11,2018-W11,7.190282173,3.534590708,91.53059173,3
13.03.2018,11,2018-W11,9.452822047,5.367047738,94.03772163,3
14.03.2018,11,2018-W11,11.44752069,2.867724318,71.73606165,3
15.03.2018,11,2018-W11,11.14991992,5.028468945,73.14749184,3
16.03.2018,11,2018-W11,12.533002,4.736101474,91.3960524,3
17.03.2018,11,2018-W11,18.09665387,6.94649418,91.2690189,3
18.03.2018,11,2018-W11,19.17753614,6.647459686,80.18424559,3
19.03.2018,12,2018-W12,18.52481673,3.755949577,59.02953876,3
20.03.2018,12,2018-W12,16.95980781,3.576362177,56.29550224,3
21.03.2018,12,2018-W12,16.08470262,2.708964541,58.42800997,3
22.03.2018,12,2018-W12,14.48751854,3.965183469,91.80853274,3
23.03.2018,12,2018-W12,12.37816478,2.481791374,96.12227958,3
24.03.2018,12,2018-W12,11.30192026,2.697207822,67.42659405,3
25.03.2018,12,2018-W12,10.64065836,1.962956978,67.19355956,3
26.03.2018,13,2018-W13,11.08325122,2.418036474,87.46234275,3
27.03.2018,13,2018-W13,11.18478889,2.865174267,83.18125573,3
28.03.2018,13,2018-W13,10.14993642,4.505458715,96.0309652,3
29.03.2018,13,2018-W13,11.32906541,4.131261617,80.29889379,3
30.03.2018,13,2018-W13,9.767859128,3.703352815,80.76763764,3
31.03.2018,13,2018-W13,10.40534246,3.191157134,90.34633234,3
01.04.2018,13,2018-W13,11.97718464,4.629925648,88.05153039,4
02.04.2018,14,2018-W14,9.182039134,3.400665263,80.0860852,4
03.04.2018,14,2018-W14,3.219473241,4.073095416,90.40547061,4
04.04.2018,14,2018-W14,3.852462205,4.110222982,78.73845614,4
05.04.2018,14,2018-W14,8.147614326,5.594464631,75.24746989,4
06.04.2018,14,2018-W14,8.92223908,3.816193177,36.0571149,4
07.04.2018,14,2018-W14,3.371543813,3.891618859,38.98940227,4
08.04.2018,14,2018-W14,1.684764568,2.770451986,35.7350432,4
09.04.2018,15,2018-W15,2.014427416,2.354291316,69.01193239,4
10.04.2018,15,2018-W15,2.680919056,3.522770426,74.97176476,4
11.04.2018,15,2018-W15,4.791035371,3.464374068,66.13170428,4
12.04.2018,15,2018-W15,2.694878177,3.917683576,75.77407385,4
13.04.2018,15,2018-W15,4.586980029,3.28585303,88.78698589,4
14.04.2018,15,2018-W15,4.110366732,2.943339686,74.66514139,4
15.04.2018,15,2018-W15,3.035759232,2.064066842,86.75980146,4
16.04.2018,16,2018-W16,3.256263964,2.329588553,75.84342044,4
17.04.2018,16,2018-W16,2.509572742,1.998763206,42.41070939,4
18.04.2018,16,2018-W16,0.501828422,2.300047555,28.7591549,4
19.04.2018,16,2018-W16,0.138287706,2.915467679,34.25613222,4
20.04.2018,16,2018-W16,0.048425151,2.469389091,39.15312397,4
21.04.2018,16,2018-W16,0.524591237,2.330924938,35.37762758,4
22.04.2018,16,2018-W16,0.33034849,2.54390998,54.90118771,4
23.04.2018,17,2018-W17,0.980020531,3.828486509,77.85821351,4
24.04.2018,17,2018-W17,3.167824414,3.799125057,83.69519406,4
25.04.2018,17,2018-W17,3.132348467,5.024270634,72.34093375,4
26.04.2018,17,2018-W17,6.662667231,4.41215893,71.62072896,4
27.04.2018,17,2018-W17,4.671628621,2.853610803,71.55113106,4
28.04.2018,17,2018-W17,2.452328029,2.975145344,74.44620215,4
29.04.2018,17,2018-W17,1.034354406,3.056193483,67.72568533,4
30.04.2018,18,2018-W18,2.76456113,5.695737166,73.34109184,4
01.05.2018,18,2018-W18,6.742665012,5.063694896,71.97714255,5
02.05.2018,18,2018-W18,5.377642862,2.797637492,71.39762175,5
03.05.2018,18,2018-W18,3.751371109,3.138639767,76.57488431,5
04.05.2018,18,2018-W18,3.241395894,3.345182401,32.99288529,5
05.05.2018,18,2018-W18,1.829508075,3.789138621,16.49937279,5
06.05.2018,18,2018-W18,0.634248699,3.447228054,4.646175743,5
07.05.2018,19,2018-W19,0.255638086,3.361343167,5.279813277,5
08.05.2018,19,2018-W19,0.094917988,3.405669377,6.496785135,5
09.05.2018,19,2018-W19,0.194830137,2.738533862,30.09000996,5
10.05.2018,19,2018-W19,1.605902564,3.490088683,75.20029065,5
11.05.2018,19,2018-W19,2.226937479,2.378722404,63.16248967,5
12.05.2018,19,2018-W19,0.166300326,2.571162637,61.33358743,5
13.05.2018,19,2018-W19,0.840790409,3.524638648,66.44563086,5
14.05.2018,20,2018-W20,0.731776436,3.678853669,51.09977308,5
15.05.2018,20,2018-W20,1.250383151,3.165262334,63.94438057,5
16.05.2018,20,2018-W20,2.271304638,3.058471602,86.65207086,5
17.05.2018,20,2018-W20,3.439444375,4.103456534,78.79016162,5
18.05.2018,20,2018-W20,4.302287374,2.900945247,75.99730878,5
19.05.2018,20,2018-W20,3.190715798,2.266157281,68.37790063,5
20.05.2018,20,2018-W20,1.027754125,3.332970582,40.92853676,5
21.05.2018,21,2018-W21,0.203699736,3.680838241,40.42494039,5
22.05.2018,21,2018-W21,0.182385381,2.538550365,67.24579007,5
23.05.2018,21,2018-W21,0.15589433,2.911965572,80.45253288,5
24.05.2018,21,2018-W21,0.261369044,3.22720494,77.02653119,5
25.05.2018,21,2018-W21,0.093285833,2.673172257,59.55246098,5
26.05.2018,21,2018-W21,0.028540861,2.468753552,49.0281449,5
27.05.2018,21,2018-W21,0.029519957,2.517928466,68.04673498,5
28.05.2018,22,2018-W22,0.008091827,2.702760411,61.58416951,5
29.05.2018,22,2018-W22,0.021738332,3.094214352,58.11652162,5
30.05.2018,22,2018-W22,0.013270325,2.206668549,48.24940726,5
31.05.2018,22,2018-W22,0.02451233,2.391800195,63.52653029,5
01.06.2018,22,2018-W22,0.075789326,3.002423666,78.56490326,6
02.06.2018,22,2018-W22,0.096919399,2.740182286,71.60739472,6
03.06.2018,22,2018-W22,0.037496315,2.152353247,51.99223575,6
